"prodcode"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"bnftext"	"Psychotropic"	"group"
"35684"	"Pipotiazine 50mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Pipotiazine"	"50mg/1ml"	"Unknown"	"Pipotiazine"	"Antipsychotics"
"82582"	"Seroquel 100mg tablets (Waymade Healthcare Plc)"	"Oral tablet"	"Oral"	"Quetiapine"	"100mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"3845"	"Sodium valproate 200mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Valproate"	"40mg/1ml"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"18352"	"Sulpitil 200mg tablets (Pfizer Ltd)"	"Oral tablet"	"Oral"	"Sulpiride"	"200mg"	"First-Generation Antipsychotic Drugs"	"Sulpiride"	"Antipsychotics"
"53394"	"Citalopram 20mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Oral tablet"	"Oral"	"Citalopram"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"85885"	"Nortriptyline 10mg tablets (Advanz Pharma)"	"Oral tablet"	"Oral"	"Nortriptyline"	"10mg"	"Tricyclic And Related Antidepressants/Nocturnal Enuresis"	"Nortriptyline"	"Antidepressants"
"57936"	"Citalopram 40mg/ml oral drops sugar free (A A H Pharmaceuticals Ltd)"	"Oral drops"	"Oral"	"Citalopram"	"40mg/1ml"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"42242"	"Clozapine 50mg/ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Clozapine"	"50mg/1ml"	"Second-Generation Antipsychotic Drugs"	"Clozapine"	"Antipsychotics"
"12503"	"Marplan 10mg Tablet (Cambridge Laboratories Ltd)"	"Oral tablet"	"Oral"	"Isocarboxazid"	"10mg"	"Monoamine-Oxidase Inhibitors (MAOI)"	"Isocarboxazid"	"Antidepressants"
"45242"	"Amitriptyline 10mg Tablet (Sussex Pharmaceutical Ltd)"	"Oral tablet"	"Oral"	"Amitriptyline"	"10mg"	"Tricyclic And Related Antidepressants/Neuropathic Pain"	"Amitriptyline"	"Antidepressants"
"31826"	"Dosulepin 75mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Oral tablet"	"Oral"	"Dosulepin"	"75mg"	"Tricyclic And Related Antidepressants"	"Dosulepin"	"Antidepressants"
"83460"	"Risperidone 3mg tablets (Almus Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Risperidone"	"3mg"	"Unknown"	"Risperidone"	"Antipsychotics"
"45247"	"Fluoxetine 20mg capsules (Fannin (UK) Ltd)"	"Oral capsule"	"Oral"	"Fluoxetine"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluoxetine"	"Antidepressants"
"74026"	"Epilim Chrono 200 tablets (Waymade Healthcare Plc)"	"Modified-release tablet"	"Oral"	"Valproate"	"200mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"34693"	"Chlorpromazine 25mg tablets (Thornton & Ross Ltd)"	"Oral tablet"	"Oral"	"Chlorpromazine"	"25mg"	"First-Generation Antipsychotic Drugs"	"Chlorpromazine"	"Antipsychotics"
"26544"	"Solian 100 tablets (Sanofi)"	"Oral tablet"	"Oral"	"Amisulpride"	"100mg"	"Second-Generation Antipsychotic Drugs"	"Amisulpride"	"Antipsychotics"
"40400"	"Sodium valproate 500mg Gastro-resistant tablet (C P Pharmaceuticals Ltd)"	"Gastro-resistant tablet"	"Oral"	"Valproate"	"500mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"71734"	"Zypadhera 405mg powder and solvent for prolonged-release suspension for injection vials (Neon Healthcare Ltd)"	"Powder and solvent for prolonged-release suspension for inj"	"Intramuscular"	"Olanzapine"	"405mg"	"Second-Generation Antipsychotic Drugs/Antipsychotic Depot Injections"	"Olanzapine"	"Antipsychotics"
"1192"	"Thioridazine 10mg tablets"	"Oral tablet"	"Oral"	"Thioridazine"	"10mg"	"Antipsychotic Products"	"Thioridazine"	"Antipsychotics"
"3226"	"Sparine 50mg Tablet (Wyeth Pharmaceuticals)"	"Oral tablet"	"Oral"	"Promazine"	"50mg"	"Antipsychotic Products"	"Promazine"	"Antipsychotics"
"56193"	"Olanzapine 5mg oral lyophilisates sugar free"	NA	NA	"Olanzapine"	NA	"Unknown"	"Olanzapine"	"Antipsychotics"
"49532"	"Lamotrigine 25mg tablets (Accord-UK Ltd)"	"Oral tablet"	"Oral"	"Lamotrigine"	"25mg"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"61747"	"Ebesque XL 300mg tablets (Ethypharm UK Ltd)"	"Modified-release tablet"	"Oral"	"Quetiapine"	"300mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"84005"	"Quetiapine 100mg tablets (Milpharm Ltd)"	"Oral tablet"	"Oral"	"Quetiapine"	"100mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"7468"	"Bolvidon 10mg Tablet (Organon Laboratories Ltd)"	"Oral tablet"	"Oral"	"Mianserin"	"10mg"	"Tricyclic And Related Antidepressants"	"Mianserin"	"Antidepressants"
"86493"	"Lustral 50mg tablets (Lexon (UK) Ltd)"	"Oral tablet"	"Oral"	"Sertraline"	"50mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Sertraline"	"Antidepressants"
"87770"	"Lamotrigine 100mg tablets (Milpharm Ltd)"	"Oral tablet"	"Oral"	"Lamotrigine"	"100mg"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"45318"	"Clomipramine 50mg capsules (A A H Pharmaceuticals Ltd)"	"Oral capsule"	"Oral"	"Clomipramine"	"50mg"	"Tricyclic And Related Antidepressants"	"Clomipramine"	"Antidepressants"
"54877"	"Amitriptyline 25mg tablets (Accord-UK Ltd)"	"Oral tablet"	"Oral"	"Amitriptyline"	"25mg"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"41970"	"Fluphenazine decanoate 25mg/1ml solution for injection ampoules (Hospira UK Ltd)"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25mg/1ml"	"Antipsychotic Depot Injections"	"Fluphenazine"	"Antipsychotics"
"67874"	"Brintellix 10mg tablets (Lundbeck Ltd)"	"Oral tablet"	"Oral"	"Vortioxetine"	"10mg"	"Other Antidepressants"	"Vortioxetine"	"Antidepressants"
"81253"	"Efexor XL 150mg capsules (Lexon (UK) Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"59008"	"Prochlorperazine 3mg buccal tablets (Advanz Pharma)"	"Buccal tablet"	"Buccal"	"Prochlorperazine"	"3mg"	"Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Prochlorperazine"	"Antipsychotics"
"34356"	"Citalopram 20mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Citalopram"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"73298"	"Depalta 30mg gastro-resistant capsules (GlucoRx Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"30mg"	"Other Antidepressants/Treatment Of Diabetic Nephropathy And Neuropathy"	"Duloxetine"	"Antidepressants"
"4422"	"Tryptophan 500mg tablets"	"Oral tablet"	"Oral"	"Tryptophan"	"500mg"	"Other Antidepressants"	"Tryptophan"	"Antidepressants"
"86095"	"Mirtazapine 15mg tablets (Phoenix Healthcare Distribution Ltd)"	"Oral tablet"	"Oral"	"Mirtazapine"	"15mg"	"Other Antidepressants"	"Mirtazapine"	"Antidepressants"
"49165"	"Citalopram 10mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Oral tablet"	"Oral"	"Citalopram"	"10mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"38827"	"Triptafen-M tablets (Mercury Pharma Group Ltd)"	"Oral tablet"	"Oral"	"Perphenazine/Amitriptyline"	"10mg + 2mg"	"Unknown"	"Perphenazine/Amitriptyline"	"Antipsychotics, Antidepressants"
"14610"	"Promazine 50mg/5ml oral solution sugar free"	"Syrup Sugar-Free"	"Oral"	"Promazine"	"50mg/5ml"	"Antipsychotic Products"	"Promazine"	"Antipsychotics"
"87301"	"Curatil Prolonged Release 200mg tablets (Tillomed Laboratories Ltd)"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"200mg"	"Control Of Epilepsy"	"Carbamazepine"	"Mood Stabilisers"
"34626"	"Sodium valproate 200mg gastro-resistant tablets (Viatris UK Healthcare Ltd)"	"Gastro-resistant tablet"	"Oral"	"Valproate"	"200mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"63087"	"Biquelle XL 300mg tablets (Aspire Pharma Ltd)"	"Modified-release tablet"	"Oral"	"Quetiapine"	"300mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"43237"	"Mirtazapine 15mg orodispersible tablets (Teva UK Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"Other Antidepressants"	"Mirtazapine"	"Antidepressants"
"83697"	"Epilim Chronosphere MR 100mg granules sachets (Waymade Healthcare Plc)"	"Modified-release granules"	"Oral"	"Valproate"	"100mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"15128"	"Droperidol 1mg/ml liquid"	"Liquid"	"Oral"	"Droperidol"	"1mg/ml"	"Antipsychotic Products/Benzodiazepines (Peri-Operative)"	"Droperidol"	"Antipsychotics"
"91467"	"Mirtazapine 45mg tablets (Sigma Pharmaceuticals Plc)"	"Oral tablet"	"Oral"	"Mirtazapine"	"45mg"	"Other Antidepressants"	"Mirtazapine"	"Antidepressants"
"86782"	"Olanzapine 5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Olanzapine"	"1mg/1ml"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"	"Antipsychotics"
"21964"	"Zyprexa 7.5mg tablets (Neon Healthcare Ltd)"	"Oral tablet"	"Oral"	"Olanzapine"	"7.5mg"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"	"Antipsychotics"
"57926"	"Dosulepin 75mg/5ml oral solution"	"Oral solution"	"Oral"	"Dosulepin"	"15mg/1ml"	"Tricyclic And Related Antidepressants"	"Dosulepin"	"Antidepressants"
"78913"	"Aripiprazole 1mg/ml oral solution sugar free"	"Oral solution"	"Oral"	"Aripiprazole"	"1mg/1ml"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"	"Antipsychotics"
"63155"	"Olanzapine 7.5mg tablets (Actavis UK Ltd)"	"Oral tablet"	"Oral"	"Olanzapine"	"7.5mg"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"	"Antipsychotics"
"5762"	"Clopixol acuphase 50mg/ml Oily injection (Lundbeck Ltd)"	"Oily Injection"	"Intramuscular Deep Injection Gluteal Muscle"	"Zuclopenthixol"	"50mg/ml"	"Antipsychotic Products"	"Zuclopenthixol"	"Antipsychotics"
"8775"	"STELAZINE TAB"	"Tablet"	"Oral"	"Trifluoperazine"	NA	"Unknown"	"Trifluoperazine"	"Antipsychotics"
"2474"	"Chlorpromazine 10mg tablets"	"Oral tablet"	"Oral"	"Chlorpromazine"	"10mg"	"First-Generation Antipsychotic Drugs"	"Chlorpromazine"	"Antipsychotics"
"13369"	"Droleptan 1mg/ml Oral solution (Janssen-Cilag Ltd)"	"Oral Solution"	"Oral"	"Droperidol"	"1mg/ml"	"Antipsychotic Products/Benzodiazepines (Peri-Operative)"	"Droperidol"	"Antipsychotics"
"90227"	"Lamotrigine 5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Lamotrigine"	"1mg/1ml"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"25653"	"Chloractil 50mg Tablet (DDSA Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Chlorpromazine"	"50mg"	"Antipsychotic Products/-"	"Chlorpromazine"	"Antipsychotics"
"3227"	"Sparine 50mg/5ml Liquid (Wyeth Pharmaceuticals)"	"Liquid"	"Oral"	"Promazine"	"50mg/5ml"	"Antipsychotic Products"	"Promazine"	"Antipsychotics"
"17050"	"Sertindole 20mg tablets"	"Oral tablet"	"Oral"	"Sertindole"	"20mg"	"Second-Generation Antipsychotic Drugs"	"Sertindole"	"Antipsychotics"
"81158"	"Foraven XL 150mg capsules (Forum Products Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"21441"	"Tegretol 125mg suppositories (Essential Pharma Ltd)"	"Suppository"	"Rectal"	"Carbamazepine"	"125mg"	"Control Of Epilepsy"	"Carbamazepine"	"Mood Stabilisers"
"12073"	"Clopixol Conc 500mg/1ml solution for injection ampoules (Lundbeck Ltd)"	"Solution for injection"	"Intramuscular"	"Zuclopenthixol"	"500mg/1ml"	"First-Generation Antipsychotic Drugs"	"Zuclopenthixol"	"Antipsychotics"
"237"	"PROCHLORPERAZINE 5 MG ELI"	NA	NA	"Prochlorperazine"	NA	"Unknown"	"Prochlorperazine"	"Antipsychotics"
"66572"	"Amitriptyline 25mg tablets (Sigma Pharmaceuticals Plc)"	"Oral tablet"	"Oral"	"Amitriptyline"	"25mg"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"80135"	"Amitriptyline 10mg tablets (NorthStar Healthcare Unlimited Company)"	"Oral tablet"	"Oral"	"Amitriptyline"	"10mg"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"2880"	"Fluvoxamine 50mg tablets"	"Oral tablet"	"Oral"	"Fluvoxamine"	"50mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluvoxamine"	"Antidepressants"
"61746"	"Ebesque XL 400mg tablets (Ethypharm UK Ltd)"	"Modified-release tablet"	"Oral"	"Quetiapine"	"400mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"45818"	"Venlalic XL 37.5mg tablets (Ethypharm UK Ltd)"	"Modified-release tablet"	"Oral"	"Venlafaxine"	"37.5mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"28979"	"THIORIDAZINE  100mg/5ml"	NA	NA	"Thioridazine"	NA	"Unknown"	"Thioridazine"	"Antipsychotics"
"26082"	"THIORIDAZINE 25mg/5ml"	NA	NA	"Thioridazine"	NA	"Unknown"	"Thioridazine"	"Antipsychotics"
"32838"	"Haloperidol 1.5mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Oral tablet"	"Oral"	"Haloperidol"	"1.5mg"	"First-Generation Antipsychotic Drugs"	"Haloperidol"	"Antipsychotics"
"62927"	"Sertraline 50mg tablets (Wockhardt UK Ltd)"	"Oral tablet"	"Oral"	"Sertraline"	"50mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Sertraline"	"Antidepressants"
"67334"	"Seroquel XL 50mg tablets (Waymade Healthcare Plc)"	"Modified-release tablet"	"Oral"	"Quetiapine"	"50mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"2082"	"Epilim 200mg/5ml liquid (Sanofi)"	"Oral solution"	"Oral"	"Valproate"	"40mg/1ml"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"89748"	"Risperdal 3mg tablets (Sigma Pharmaceuticals Plc)"	"Oral tablet"	"Oral"	"Risperidone"	"3mg"	"Second-Generation Antipsychotic Drugs"	"Risperidone"	"Antipsychotics"
"2801"	"Thioridazine 10mg/5ml Oral solution"	"Oral Solution"	"Oral"	"Thioridazine"	"10mg/5ml"	"Antipsychotic Products"	"Thioridazine"	"Antipsychotics"
"34810"	"Sulpiride 200mg tablets (Wockhardt UK Ltd)"	"Oral tablet"	"Oral"	"Sulpiride"	"200mg"	"First-Generation Antipsychotic Drugs"	"Sulpiride"	"Antipsychotics"
"19976"	"Zyprexa 15mg tablets (Neon Healthcare Ltd)"	"Oral tablet"	"Oral"	"Olanzapine"	"15mg"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"	"Antipsychotics"
"64567"	"Pimozide 1mg tablets"	"Oral tablet"	"Oral"	"Pimozide"	"1mg"	"First-Generation Antipsychotic Drugs"	"Pimozide"	"Antipsychotics"
"2897"	"Faverin 50mg tablets (Viatris UK Healthcare Ltd)"	"Oral tablet"	"Oral"	"Fluvoxamine"	"50mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluvoxamine"	"Antidepressants"
"3932"	"Prochlorperazine 25mg tablets"	"Oral tablet"	"Oral"	"Prochlorperazine"	"25mg"	"Unknown"	"Prochlorperazine"	"Antipsychotics"
"8047"	"Clozapine 100mg tablets"	"Oral tablet"	"Oral"	"Clozapine"	"100mg"	"Second-Generation Antipsychotic Drugs"	"Clozapine"	"Antipsychotics"
"3733"	"Epilim Chrono 300 tablets (Sanofi)"	"Modified-release tablet"	"Oral"	"Valproate"	"300mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"48220"	"Prozac 20mg capsules (Lexon (UK) Ltd)"	"Oral capsule"	"Oral"	"Fluoxetine"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluoxetine"	"Antidepressants"
"26016"	"Citalopram 20mg tablets (Sandoz Ltd)"	"Oral tablet"	"Oral"	"Citalopram"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"21047"	"Triperidol 0.5mg Tablet (Lagap)"	"Tablet"	"Oral"	"Trifluperidol"	"0.5mg"	"Antipsychotic Products"	"Trifluperidol"	"Antipsychotics"
"18132"	"Abilify 5mg tablets (Otsuka Pharmaceuticals (U.K.) Ltd)"	"Oral tablet"	"Oral"	"Aripiprazole"	"5mg"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"	"Antipsychotics"
"20571"	"Fluphenazine with nortriptyline 500microgramswith10mg Tablet"	"Tablet"	"Oral"	"Fluphenazine/Nortriptyline"	"500mcg + 10mg"	"Tricyclic And Related Antidepressants"	"Fluphenazine/Nortriptyline"	"Antipsychotics, Antidepressants"
"34415"	"Citalopram 20mg tablets (Viatris UK Healthcare Ltd)"	"Oral tablet"	"Oral"	"Citalopram"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"66652"	"Decazate 25mg/ml Injection (Berk Pharmaceuticals Ltd)"	"Injection"	"Intramuscular"	"Fluphenazine"	"25mg/ml"	"Antipsychotic Depot Injections"	"Fluphenazine"	"Antipsychotics"
"2531"	"Surmontil 50mg capsules (Sanofi)"	"Oral capsule"	"Oral"	"Trimipramine"	"50mg"	"Tricyclic And Related Antidepressants"	"Trimipramine"	"Antidepressants"
"8493"	"Motipress tablets (Sanofi-Synthelabo Ltd)"	"Oral tablet"	"Oral"	"Fluphenazine/Nortriptyline"	"30mg + 1.5mg"	"Unknown"	"Fluphenazine/Nortriptyline"	"Antipsychotics, Antidepressants"
"43420"	"Prochlorperazine 5mg tablets (Dr Reddy's Laboratories (UK) Ltd)"	"Oral tablet"	"Oral"	"Prochlorperazine"	"5mg"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Prochlorperazine"	"Antipsychotics"
"45880"	"Haloperidol 5mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Haloperidol"	"1mg/1ml"	"First-Generation Antipsychotic Drugs"	"Haloperidol"	"Antipsychotics"
"89482"	"Sertraline 50mg tablets (Medihealth (Northern) Ltd)"	"Oral tablet"	"Oral"	"Sertraline"	"50mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Sertraline"	"Antidepressants"
"87503"	"Venlafaxine 75mg tablets (Phoenix Healthcare Distribution Ltd)"	"Oral tablet"	"Oral"	"Venlafaxine"	"75mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"38274"	"Clomipramine 50mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Clomipramine"	"10mg/1ml"	"Tricyclic And Related Antidepressants"	"Clomipramine"	"Antidepressants"
"89615"	"Psyquet XL 300mg tablets (Sandoz Ltd)"	"Modified-release tablet"	"Oral"	"Quetiapine"	"300mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"34707"	"Sodium valproate 200mg gastro-resistant tablets (IVAX Pharmaceuticals UK Ltd)"	"Gastro-resistant tablet"	"Oral"	"Valproate"	"200mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"47083"	"Olanzapine 20mg orodispersible tablets"	"Orodispersible tablet"	"Oral"	"Olanzapine"	"20mg"	"Unknown"	"Olanzapine"	"Antipsychotics"
"79154"	"Epilim Chrono 200 tablets (Sigma Pharmaceuticals Plc)"	"Modified-release tablet"	"Oral"	"Valproate"	"200mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"64957"	"Risperidone 1mg/ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)"	"Oral solution"	"Oral"	"Risperidone"	"1mg/1ml"	"Second-Generation Antipsychotic Drugs"	"Risperidone"	"Antipsychotics"
"38937"	"Seroquel XL 300mg tablets (Luye Pharma Ltd)"	"Modified-release tablet"	"Oral"	"Quetiapine"	"300mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"46889"	"Amisulpride 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Amisulpride"	"5mg/1ml"	"Second-Generation Antipsychotic Drugs"	"Amisulpride"	"Antipsychotics"
"26513"	"Clomipramine 25mg/2ml solution for injection ampoules"	"Solution for injection"	"Intravenous/Intramuscular"	"Clomipramine"	"12.5mg/1ml"	"Unknown"	"Clomipramine"	"Antidepressants"
"5577"	"Efalith 8%+0.05% Cream (Scotia Pharmaceuticals Ltd)"	"Cream"	"Topical"	"Lithium"	"8%+0.05%"	"Preparations For Eczema"	"Lithium"	"Mood Stabilisers"
"40059"	"Venlalic XL 75mg tablets (Ethypharm UK Ltd)"	"Modified-release tablet"	"Oral"	"Venlafaxine"	"75mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"55661"	"Risperidone 1mg tablets (Kent Pharma (UK) Ltd)"	"Oral tablet"	"Oral"	"Risperidone"	"1mg"	"Second-Generation Antipsychotic Drugs"	"Risperidone"	"Antipsychotics"
"2135"	"Sulpiride 200mg tablets"	"Oral tablet"	"Oral"	"Sulpiride"	"200mg"	"First-Generation Antipsychotic Drugs"	"Sulpiride"	"Antipsychotics"
"40162"	"Trifluoperazine 1mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Trifluoperazine"	"1mg"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Trifluoperazine"	"Antipsychotics"
"34782"	"Amitriptyline 25mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Amitriptyline"	"25mg"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"42816"	"Thioridazine 50mg/5ml Oral solution (Rosemont Pharmaceuticals Ltd)"	"Oral Solution"	"Oral"	"Thioridazine"	"50mg/5ml"	"Antipsychotic Products"	"Thioridazine"	"Antipsychotics"
"50235"	"Lamotrigine 25mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Lamotrigine"	"25mg"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"59938"	"Levomepromazine 25mg/1ml solution for injection ampoules (Wockhardt UK Ltd)"	"Solution for injection"	"Intravenous/Subcutaneous/Intramuscular"	"Levomepromazine"	"25mg/1ml"	"First-Generation Antipsychotic Drugs"	"Levomepromazine"	"Antipsychotics"
"15645"	"HALDOL 20 MG TAB"	"Tablet"	"Oral"	"Haloperidol"	NA	"Unknown"	"Haloperidol"	"Antipsychotics"
"50934"	"Venlafaxine 150mg/5ml oral solution"	"Oral solution"	"Oral"	"Venlafaxine"	"30mg/1ml"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"88347"	"Venlafaxine 75mg modified-release tablets (Martindale Pharmaceuticals Ltd)"	"Modified-release tablet"	"Oral"	"Venlafaxine"	"75mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"70773"	"Carbamazepine 200mg modified-release tablets (DE Pharmaceuticals)"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"200mg"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"	"Mood Stabilisers"
"89685"	"Doxepin 25mg capsules (Marlborough Pharmaceuticals Ltd)"	"Oral capsule"	"Oral"	"Doxepin"	"25mg"	"Tricyclic And Related Antidepressants"	"Doxepin"	"Antidepressants"
"25345"	"Li-Liquid 1.018g/5ml oral solution (Rosemont Pharmaceuticals Ltd)"	"Oral solution"	"Oral"	"Lithium"	"203.6mg/1ml"	"Products Used For Mania And Hypomania"	"Lithium"	"Mood Stabilisers"
"43451"	"Carbamazepine 400mg Modified-release tablet (Generics (UK) Ltd)"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"400mg"	"Products Used For Mania And Hypomania/Control Of Epilepsy"	"Carbamazepine"	"Mood Stabilisers"
"89492"	"Olanzapine 7.5mg tablets (Kent Pharma (UK) Ltd)"	"Oral tablet"	"Oral"	"Olanzapine"	"7.5mg"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"	"Antipsychotics"
"19900"	"Sertindole 16mg tablets"	"Oral tablet"	"Oral"	"Sertindole"	"16mg"	"Second-Generation Antipsychotic Drugs"	"Sertindole"	"Antipsychotics"
"57217"	"Risperidone 1mg tablets (Viatris UK Healthcare Ltd)"	"Oral tablet"	"Oral"	"Risperidone"	"1mg"	"Second-Generation Antipsychotic Drugs"	"Risperidone"	"Antipsychotics"
"69635"	"Mintreleq XL 400mg tablets (Aristo Pharma Ltd)"	"Modified-release tablet"	"Oral"	"Quetiapine"	"400mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"40777"	"Doxepin 25mg/5ml oral suspension"	"Oral Suspension"	"Oral"	"Doxepin"	"25mg/5ml"	"Tricyclic And Related Antidepressants"	"Doxepin"	"Antidepressants"
"84977"	"Duloxetine 90mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"90mg"	"Other Antidepressants"	"Duloxetine"	"Antidepressants"
"14130"	"Depixol Low Volume 200mg/1ml solution for injection ampoules (Lundbeck Ltd)"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"200mg/1ml"	"Antipsychotic Depot Injections"	"Flupentixol"	"Antipsychotics"
"37611"	"Epival CR 300mg tablets (G.L. Pharma UK Ltd)"	"Modified-release tablet"	"Oral"	"Valproate"	"300mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
