"productname"	"formulation"	"route"	"drugsubstance"	"strength"	"productcode"	"BNFcode"	"AD"
"Ranflutin 20mg capsules (Ranbaxy (UK) Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"29786"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg/5ml oral solution (Teva UK Ltd)"	"Oral solution"	"Oral"	"Fluoxetine hydrochloride"	"4mg/1ml"	"30258"	"0403030E0"	"fluoxetine"
"Felicium 20mg capsules (Opus Pharmaceuticals Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"33071"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg capsules (Zentiva)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"33410"	"0403030E0"	"fluoxetine"
"Prozit 20mg/5ml oral solution (Pinewood Healthcare)"	"Oral solution"	"Oral"	"Fluoxetine hydrochloride"	"4mg/1ml"	"33779"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg capsules (Genus Pharmaceuticals Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"34202"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg/5ml oral solution (A A H Pharmaceuticals Ltd)"	"Oral solution"	"Oral"	"Fluoxetine hydrochloride"	"4mg/1ml"	"34216"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg capsules (Mylan)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"34288"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg capsules (IVAX Pharmaceuticals UK Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"34294"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg capsules (Teva UK Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"34456"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg capsules (Tillomed Laboratories Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"34849"	"0403030E0"	"fluoxetine"
"Fluoxetine 60mg capsules (Mylan)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"60mg"	"34856"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Fluoxetine hydrochloride"	"4mg/1ml"	"36893"	"0403030E0"	"fluoxetine"
"Prozep 20mg/5ml oral solution (Chemidex Pharma Ltd)"	"Oral solution"	"Oral"	"Fluoxetine hydrochloride"	"4mg/1ml"	"37256"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg Capsule (Milpharm Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"38890"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg capsules (Niche Generics Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"42107"	"0403030E0"	"fluoxetine"
"Fluoxetine 10mg tablets"	"Tablet"	"Oral"	"Fluoxetine hydrochloride"	"10mg"	"42499"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg/5ml oral solution (IVAX Pharmaceuticals UK Ltd)"	"Oral solution"	"Oral"	"Fluoxetine hydrochloride"	"4mg/1ml"	"42803"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg capsules (Sandoz Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"45224"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg capsules (Fannin UK Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"45247"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg capsules (Wockhardt UK Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"45316"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg capsules (Actavis UK Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"45329"	"0403030E0"	"fluoxetine"
"Prozac 20mg capsules (Lexon (UK) Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"48220"	"0403030E0"	"fluoxetine"
"Prozac 20mg capsules (Waymade Healthcare Plc)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"57532"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg capsules (Milpharm Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"59358"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg orodispersible tablets sugar free"	"Orodispersible tablet"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"60138"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg dispersible tablets sugar free"	"Dispersible tablet"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"60534"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg/5ml oral solution (Kent Pharmaceuticals Ltd)"	"Oral solution"	"Oral"	"Fluoxetine hydrochloride"	"4mg/1ml"	"60619"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg capsules (Alliance Healthcare (Distribution) Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"60962"	"0403030E0"	"fluoxetine"
"Prozac 20mg capsules (Mawdsley-Brooks & Company Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"61335"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg capsules (Phoenix Healthcare Distribution Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"62155"	"0403030E0"	"fluoxetine"
"Olena 20mg dispersible tablets (AMCo)"	"Dispersible tablet"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"62335"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg capsules (Morningside Healthcare Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"66744"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg capsules (Waymade Healthcare Plc)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"67092"	"0403030E0"	"fluoxetine"
"Fluoxetine 10mg capsules"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"10mg"	"67431"	"0403030E0"	"fluoxetine"
"Fluoxetine 30mg capsules"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"30mg"	"67496"	"0403030E0"	"fluoxetine"
"Fluoxetine 40mg capsules"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"40mg"	"67562"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg capsules (Dr Reddy's Laboratories (UK) Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"67736"	"0403030E0"	"fluoxetine"
"Prozac 20mg capsules (DE Pharmaceuticals)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"67758"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg capsules (Strides Shasun (UK) Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"67769"	"0403030E0"	"fluoxetine"
"Fluoxetine 60mg capsules (Kent Pharmaceuticals Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"60mg"	"67888"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg/5ml oral solution sugar free (Actavis UK Ltd)"	"Oral solution"	"Oral"	"Fluoxetine hydrochloride"	"4mg/1ml"	"68266"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg capsules (Medreich Plc)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"69525"	"0403030E0"	"fluoxetine"
"Prozac 20mg capsules (Necessity Supplies Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"69542"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg/5ml oral solution sugar free (Morningside Healthcare Ltd)"	"Oral solution"	"Oral"	"Fluoxetine hydrochloride"	"4mg/1ml"	"69685"	"0403030E0"	"fluoxetine"
"Fluoxetine 10mg capsules (A A H Pharmaceuticals Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"10mg"	"69941"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg capsules (Accord Healthcare Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"71852"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg/5ml oral solution (Pinewood Healthcare)"	"Oral solution"	"Oral"	"Fluoxetine hydrochloride"	"4mg/1ml"	"73414"	"0403030E0"	"fluoxetine"
"Fluoxetine 2mg/5ml oral solution"	"Oral solution"	"Oral"	"Fluoxetine hydrochloride"	"400microgram/1ml"	"74886"	"0403030E0"	"fluoxetine"
"Fluoxetine 40mg capsules (Alliance Healthcare (Distribution) Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"40mg"	"75068"	"0403030E0"	"fluoxetine"
"Fluoxetine 60mg capsules (Advanz Pharma)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"60mg"	"75247"	"0403030E0"	"fluoxetine"
"Fluoxetine 2.5mg/5ml oral solution"	"Oral solution"	"Oral"	"Fluoxetine hydrochloride"	"500microgram/1ml"	"75645"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg capsules (Genesis Pharmaceuticals Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"75688"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg capsules (Almus Pharmaceuticals Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"75799"	"0403030E0"	"fluoxetine"
"Prozac 20mg/5ml liquid (Necessity Supplies Ltd)"	"Oral solution"	"Oral"	"Fluoxetine hydrochloride"	"4mg/1ml"	"75943"	"0403030E0"	"fluoxetine"
"Motival 10mg/500microgram tablets (Sanofi)"	"Tablet"	"Oral"	"Fluphenazine hydrochloride/Nortriptyline hydrochloride"	"500microgram + 10mg"	"2936"	""	"nortriptyline_fluphenazine"
"Nortriptyline 10mg / Fluphenazine 500microgram tablets"	"Tablet"	"Oral"	"Fluphenazine hydrochloride/Nortriptyline hydrochloride"	"500microgram + 10mg"	"7780"	""	"nortriptyline_fluphenazine"
"Fluvoxamine 100mg tablets"	"Tablet"	"Oral"	"Fluvoxamine maleate"	"100mg"	"2290"	"0403030L0"	"fluvoxamine"
"Fluvoxamine 50mg tablets"	"Tablet"	"Oral"	"Fluvoxamine maleate"	"50mg"	"2880"	"0403030L0"	"fluvoxamine"
"Faverin 50mg tablets (Mylan)"	"Tablet"	"Oral"	"Fluvoxamine maleate"	"50mg"	"2897"	"0403030L0"	"fluvoxamine"
"Faverin 100mg tablets (Mylan)"	"Tablet"	"Oral"	"Fluvoxamine maleate"	"100mg"	"12123"	"0403030L0"	"fluvoxamine"
"Fluvoxamine 100mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Tablet"	"Oral"	"Fluvoxamine maleate"	"100mg"	"43518"	"0403030L0"	"fluvoxamine"
"Fluvoxamine 100mg tablets (Actavis UK Ltd)"	"Tablet"	"Oral"	"Fluvoxamine maleate"	"100mg"	"44861"	"0403030L0"	"fluvoxamine"
"Fluvoxamine 100mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Fluvoxamine maleate"	"100mg"	"48045"	"0403030L0"	"fluvoxamine"
"Imipramine 10mg tablets"	"Tablet"	"Oral"	"Imipramine hydrochloride"	"10mg"	"1310"	"0403010N0"	"imipramine"
"Imipramine 25mg tablets"	"Tablet"	"Oral"	"Imipramine hydrochloride"	"25mg"	"1809"	"0403010N0"	"imipramine"
"Tofranil 10mg Tablet (Novartis Pharmaceuticals UK Ltd)"	"Tablet"	"Oral"	"Imipramine hydrochloride"	"10mg"	"2579"	"0403010N0"	"imipramine"
"Tofranil 25mg/5ml syrup (Novartis Pharmaceuticals UK Ltd)"	"Oral solution"	"Oral"	"Imipramine hydrochloride"	"5mg/1ml"	"4404"	"0403010N0"	"imipramine"
"Tofranil 25mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Tablet"	"Oral"	"Imipramine hydrochloride"	"25mg"	"7910"	"0403010N0"	"imipramine"
"Imipramine 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Imipramine hydrochloride"	"5mg/1ml"	"8055"	"0403010N0"	"imipramine"
"Imipramine 10mg tablets (Teva UK Ltd)"	"Tablet"	"Oral"	"Imipramine hydrochloride"	"10mg"	"32863"	"0403010N0"	"imipramine"
"Praminil 10mg Tablet (DDSA Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Imipramine hydrochloride"	"10mg"	"33074"	"0403010N0"	"imipramine"
"Imipramine 10mg tablets (Actavis UK Ltd)"	"Tablet"	"Oral"	"Imipramine hydrochloride"	"10mg"	"34222"	"0403010N0"	"imipramine"
"Imipramine 25mg tablets (Actavis UK Ltd)"	"Tablet"	"Oral"	"Imipramine hydrochloride"	"25mg"	"34355"	"0403010N0"	"imipramine"
"Imipramine 25mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Imipramine hydrochloride"	"25mg"	"34813"	"0403010N0"	"imipramine"
"Imipramine 25mg Tablet (C P Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Imipramine hydrochloride"	"25mg"	"34872"	"0403010N0"	"imipramine"
"Imipramine 25mg tablets (Teva UK Ltd)"	"Tablet"	"Oral"	"Imipramine hydrochloride"	"25mg"	"41408"	"0403010N0"	"imipramine"
"Imipramine 10mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Imipramine hydrochloride"	"10mg"	"41681"	"0403010N0"	"imipramine"
"Imipramine 25mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Imipramine hydrochloride"	"5mg/1ml"	"42247"	"0403010N0"	"imipramine"
"Tofranil 25mg tablets (Lexon (UK) Ltd)"	"Tablet"	"Oral"	"Imipramine hydrochloride"	"25mg"	"56501"	"0403010N0"	"imipramine"
"Imipramine 10mg tablets (Almus Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Imipramine hydrochloride"	"10mg"	"67935"	"0403010N0"	"imipramine"
"Imipramine 10mg tablets (Sigma Pharmaceuticals Plc)"	"Tablet"	"Oral"	"Imipramine hydrochloride"	"10mg"	"70287"	"0403010N0"	"imipramine"
"Imipramine 10mg tablets (DE Pharmaceuticals)"	"Tablet"	"Oral"	"Imipramine hydrochloride"	"10mg"	"71253"	"0403010N0"	"imipramine"
"Isocarboxazid 10mg tablets"	"Tablet"	"Oral"	"Isocarboxazid"	"10mg"	"12207"	"0403020H0"	"isocarboxazid"
"Marplan 10mg Tablet (Cambridge Laboratories Ltd)"	"Tablet"	"Oral"	"Isocarboxazid"	"10mg"	"12503"	"0403020H0"	"isocarboxazid"
"Isocarboxazid 10mg Tablet (Cambridge Laboratories Ltd)"	"Tablet"	"Oral"	"Isocarboxazid"	"10mg"	"41731"	"0403020H0"	"isocarboxazid"
"Lofepramine 70mg tablets"	"Tablet"	"Oral"	"Lofepramine hydrochloride"	"70mg"	"114"	"0403010R0"	"lofepramine"
"Gamanil 70mg tablets (Merck Serono Ltd)"	"Tablet"	"Oral"	"Lofepramine hydrochloride"	"70mg"	"2093"	"0403010R0"	"lofepramine"
"Lofepramine 70mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Lofepramine hydrochloride"	"14mg/1ml"	"4218"	"0403010R0"	"lofepramine"
"Lomont 70mg/5ml oral suspension (Rosemont Pharmaceuticals Ltd)"	"Oral suspension"	"Oral"	"Lofepramine hydrochloride"	"14mg/1ml"	"25444"	"0403010R0"	"lofepramine"
"Lofepramine 70mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Lofepramine hydrochloride"	"70mg"	"34046"	"0403010R0"	"lofepramine"
"Lofepramine 70mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Tablet"	"Oral"	"Lofepramine hydrochloride"	"70mg"	"34578"	"0403010R0"	"lofepramine"
"Lofepramine 70mg tablets (Sterwin Medicines)"	"Tablet"	"Oral"	"Lofepramine hydrochloride"	"70mg"	"34672"	"0403010R0"	"lofepramine"
"Lofepramine 70mg tablets (Accord Healthcare Ltd)"	"Tablet"	"Oral"	"Lofepramine hydrochloride"	"70mg"	"34950"	"0403010R0"	"lofepramine"
"Lofepramine 70mg Tablet (Teva UK Ltd)"	"Tablet"	"Oral"	"Lofepramine hydrochloride"	"70mg"	"41627"	"0403010R0"	"lofepramine"
"Lofepramine 70mg/5ml Oral suspension (Rosemont Pharmaceuticals Ltd)"	"Oral suspension"	"Oral"	"Lofepramine hydrochloride"	"14mg/1ml"	"43534"	"0403010R0"	"lofepramine"
"Lofepramine 70mg/5ml oral solution"	"Oral solution"	"Oral"	"Lofepramine hydrochloride"	"14mg/1ml"	"56229"	"0403010R0"	"lofepramine"
"Lofepramine 70mg tablets (Sandoz Ltd)"	"Tablet"	"Oral"	"Lofepramine hydrochloride"	"70mg"	"56703"	"0403010R0"	"lofepramine"
"Feprapax 70mg tablets (Ashbourne Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Lofepramine hydrochloride"	"70mg"	"58450"	"0403010R0"	"lofepramine"
"Lofepramine 70mg tablets (Teva UK Ltd)"	"Tablet"	"Oral"	"Lofepramine hydrochloride"	"70mg"	"60591"	"0403010R0"	"lofepramine"
"Lofepramine 70mg tablets (DE Pharmaceuticals)"	"Tablet"	"Oral"	"Lofepramine hydrochloride"	"70mg"	"66100"	"0403010R0"	"lofepramine"
"Lofepramine 70mg tablets (Mylan)"	"Tablet"	"Oral"	"Lofepramine hydrochloride"	"70mg"	"67742"	"0403010R0"	"lofepramine"
"Lofepramine 70mg tablets (Kent Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Lofepramine hydrochloride"	"70mg"	"68657"	"0403010R0"	"lofepramine"
"Lofepramine 70mg tablets (Almus Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Lofepramine hydrochloride"	"70mg"	"71067"	"0403010R0"	"lofepramine"
"Lofepramine 70mg tablets (Almus Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Lofepramine hydrochloride"	"70mg"	"74586"	"0403010R0"	"lofepramine"
"Maprotiline 25mg tablets"	"Tablet"	"Oral"	"Maprotiline hydrochloride"	"25mg"	"8549"	"0403010S0"	"maprotiline"
"Ludiomil 25mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Tablet"	"Oral"	"Maprotiline hydrochloride"	"25mg"	"10645"	"0403010S0"	"maprotiline"
"Maprotiline 50mg tablets"	"Tablet"	"Oral"	"Maprotiline hydrochloride"	"50mg"	"12100"	"0403010S0"	"maprotiline"
"Ludiomil 10mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Tablet"	"Oral"	"Maprotiline hydrochloride"	"10mg"	"12222"	"0403010S0"	"maprotiline"
"Ludiomil 75mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Tablet"	"Oral"	"Maprotiline hydrochloride"	"75mg"	"13558"	"0403010S0"	"maprotiline"
"Ludiomil 50mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Tablet"	"Oral"	"Maprotiline hydrochloride"	"50mg"	"14410"	"0403010S0"	"maprotiline"
"Maprotiline 10mg tablets"	"Tablet"	"Oral"	"Maprotiline hydrochloride"	"10mg"	"16727"	"0403010S0"	"maprotiline"
"Maprotiline 75mg tablets"	"Tablet"	"Oral"	"Maprotiline hydrochloride"	"75mg"	"20405"	"0403010S0"	"maprotiline"
"Mianserin 10mg tablets"	"Tablet"	"Oral"	"Mianserin hydrochloride"	"10mg"	"3083"	"0403010T0"	"mianserin"
"Mianserin 20mg tablets"	"Tablet"	"Oral"	"Mianserin hydrochloride"	"20mg"	"4329"	"0403010T0"	"mianserin"
"Mianserin 30mg tablets"	"Tablet"	"Oral"	"Mianserin hydrochloride"	"30mg"	"6255"	"0403010T0"	"mianserin"
"Bolvidon 10mg Tablet (Organon Laboratories Ltd)"	"Tablet"	"Oral"	"Mianserin hydrochloride"	"10mg"	"7468"	"0403010T0"	"mianserin"
"Bolvidon 20mg Tablet (Organon Laboratories Ltd)"	"Tablet"	"Oral"	"Mianserin hydrochloride"	"20mg"	"8144"	"0403010T0"	"mianserin"
"Bolvidon 30mg Tablet (Organon Laboratories Ltd)"	"Tablet"	"Oral"	"Mianserin hydrochloride"	"30mg"	"8585"	"0403010T0"	"mianserin"
"Norval 20mg Tablet (Bencard)"	"Tablet"	"Oral"	"Mianserin hydrochloride"	"20mg"	"11956"	"0403010T0"	"mianserin"
"Norval 30mg Tablet (Bencard)"	"Tablet"	"Oral"	"Mianserin hydrochloride"	"30mg"	"12192"	"0403010T0"	"mianserin"
"Norval 10mg Tablet (Bencard)"	"Tablet"	"Oral"	"Mianserin hydrochloride"	"10mg"	"12368"	"0403010T0"	"mianserin"
"Mianserin 20mg Tablet (Berk Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Mianserin hydrochloride"	"20mg"	"47363"	"0403010T0"	"mianserin"
"Mirtazapine 30mg tablets"	"Tablet"	"Oral"	"Mirtazapine"	"30mg"	"742"	"0403040X0"	"mirtazapine"
"Zispin 30mg tablets (Organon Laboratories Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"30mg"	"4726"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg orodispersible tablets"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"6421"	"0403040X0"	"mirtazapine"
"Mirtazapine 45mg orodispersible tablets"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"45mg"	"6481"	"0403040X0"	"mirtazapine"
"Mirtazapine 30mg orodispersible tablets"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"30mg"	"6488"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg tablets"	"Tablet"	"Oral"	"Mirtazapine"	"15mg"	"6795"	"0403040X0"	"mirtazapine"
"Zispin SolTab 15mg orodispersible tablets (Merck Sharp & Dohme Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"6846"	"0403040X0"	"mirtazapine"
"Mirtazapine 45mg tablets"	"Tablet"	"Oral"	"Mirtazapine"	"45mg"	"6854"	"0403040X0"	"mirtazapine"
"Zispin SolTab 30mg orodispersible tablets (Merck Sharp & Dohme Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"30mg"	"10083"	"0403040X0"	"mirtazapine"
"Zispin SolTab 45mg orodispersible tablets (Merck Sharp & Dohme Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"45mg"	"15268"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg/ml oral solution sugar free"	"Oral solution"	"Oral"	"Mirtazapine"	"15mg/1ml"	"16154"	"0403040X0"	"mirtazapine"
"Mirtazapine 45mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"45mg"	"33337"	"0403040X0"	"mirtazapine"
"Mirtazapine 30mg tablets (Actavis UK Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"30mg"	"40160"	"0403040X0"	"mirtazapine"
"Mirtazapine 45mg orodispersible tablets (Teva UK Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"45mg"	"43234"	"0403040X0"	"mirtazapine"
"Mirtazapine 45mg orodispersible tablets (A A H Pharmaceuticals Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"45mg"	"43235"	"0403040X0"	"mirtazapine"
"Mirtazapine 45mg orodispersible tablets (Accord Healthcare Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"45mg"	"43236"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg orodispersible tablets (Teva UK Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"43237"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"15mg"	"43239"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg orodispersible tablets (Aurobindo Pharma Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"43241"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg tablets (Genus Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"15mg"	"43242"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg orodispersible tablets (Genus Pharmaceuticals Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"43246"	"0403040X0"	"mirtazapine"
"Mirtazapine 45mg orodispersible tablets (Genus Pharmaceuticals Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"45mg"	"43247"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg orodispersible tablets (Focus Pharmaceuticals Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"43248"	"0403040X0"	"mirtazapine"
"Mirtazapine 30mg orodispersible tablets (A A H Pharmaceuticals Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"30mg"	"43250"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg orodispersible tablets (A A H Pharmaceuticals Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"43253"	"0403040X0"	"mirtazapine"
"Mirtazapine 45mg orodispersible tablets (Focus Pharmaceuticals Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"45mg"	"43256"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg tablets (Teva UK Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"15mg"	"43257"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg tablets (Arrow Generics Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"15mg"	"46668"	"0403040X0"	"mirtazapine"
"Mirtazapine 30mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"30mg"	"47945"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg/ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)"	"Oral solution"	"Oral"	"Mirtazapine"	"15mg/1ml"	"47966"	"0403040X0"	"mirtazapine"
"Mirtazapine 30mg orodispersible tablets (Almus Pharmaceuticals Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"30mg"	"48185"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg orodispersible tablets sugar free"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"48698"	"0403040X0"	"mirtazapine"
"Mirtazapine 45mg orodispersible tablets sugar free"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"45mg"	"49820"	"0403040X0"	"mirtazapine"
"Zispin SolTab 15mg orodispersible tablets (Necessity Supplies Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"50892"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg/ml oral solution sugar free (A A H Pharmaceuticals Ltd)"	"Oral solution"	"Oral"	"Mirtazapine"	"15mg/1ml"	"53321"	"0403040X0"	"mirtazapine"
"Zispin SolTab 30mg orodispersible tablets (Necessity Supplies Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"30mg"	"53543"	"0403040X0"	"mirtazapine"
"Mirtazapine 30mg orodispersible tablets (Accord Healthcare Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"30mg"	"53648"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg tablets (Actavis UK Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"15mg"	"53699"	"0403040X0"	"mirtazapine"
