"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Mood Stabiliser"
"59746"	29	"Carbamazepine 100mg tablets (DE Pharmaceuticals)"	"Carbamazepine"	"100mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"70902"	5	"Carbamazepine 200mg modified-release tablets (Phoenix Healthcare Distribution Ltd)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"80597"	7682	"Syonell 250mg gastro-resistant tablets (Lupin Healthcare (UK) Ltd)"	"Valproate"	"250mg"	"Gastro-resistant tablet"	"Oral"	"Products Used For Mania And Hypomania/Prophylaxis Of Migraine"	"Valproate"
"17152"	1898	"Orlept 200mg gastro-resistant tablets (Wockhardt UK Ltd)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"34883"	15	"Sodium valproate 200mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"Control Of Epilepsy"	"Valproate"
"77195"	0	"Sodium valproate 500mg modified-release tablets (DE Pharmaceuticals)"	"Valproate"	"500mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"34370"	488	"Carbamazepine 200mg modified-release tablets (A A H Pharmaceuticals Ltd)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"29620"	13	"Lamotrigine 100mg tablets (Actavis UK Ltd)"	"Lamotrigine"	"100mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Lamotrigine"
"43387"	5	"Sodium valproate with valproic acid 50mg modified release granules"	"Valproate/Valproic"	"50mg"	"Modified Release Granules"	"Oral"	"Control Of Epilepsy"	"Valproate/Valproic"
"76964"	31	"Sodium valproate 200mg gastro-resistant tablets (Waymade Healthcare Plc)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"82325"	0	"Lamictal 25mg tablets (Mawdsley-Brooks & Company Ltd)"	"Lamotrigine"	"25mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"3731"	559744	"Epilim ec 200mg Gastro-resistant tablet (Sanofi)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"1158"	1430653	"Carbamazepine 200mg tablets"	"Carbamazepine"	"200mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"87181"	1	"Sodium valproate 300mg/3ml solution for injection vials"	"Valproate"	"100mg/1ml"	"Solution for injection"	"Intravenous"	"Control Of Epilepsy"	"Valproate"
"43648"	20	"Sodium valproate oral solution"	"Valproate"	NA	"Oral Liquid"	"Oral"	"Control Of Epilepsy"	"Valproate"
"44472"	1431	"Sodium valproate 100mg modified-release granules sachets sugar free"	"Valproate"	"100mg"	"Modified-release granules"	"Oral"	"Control Of Epilepsy"	"Valproate"
"59038"	154	"Carbamazepine 100mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd)"	"Carbamazepine"	"20mg/1ml"	"Oral suspension"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"60187"	2303	"Carbagen 200mg tablets (Viatris UK Healthcare Ltd)"	"Carbamazepine"	"200mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"14954"	9828	"Lithium carbonate 450mg modified-release tablets"	"Lithium"	"450mg"	"Modified-release tablet"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"12931"	5	"Epimaz Retard 200mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"82296"	3	"Sodium valproate 300mg modified-release tablets (Ennogen Healthcare Ltd)"	"Valproate"	"300mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"46972"	36	"Carbamazepine 200mg Tablet (IVAX Pharmaceuticals UK Ltd)"	"Carbamazepine"	"200mg"	"Oral tablet"	"Oral"	"Products Used For Mania And Hypomania/Control Of Epilepsy"	"Carbamazepine"
"65296"	6	"Lithium carbonate 250mg tablets (A A H Pharmaceuticals Ltd)"	"Lithium"	"250mg"	"Oral tablet"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"35471"	4803	"Sodium valproate 150mg modified-release capsules"	"Valproate"	"150mg"	"Modified-release capsule"	"Oral"	"Control Of Epilepsy"	"Valproate"
"77272"	56	"Sodium valproate 500mg Tablet (Sterwin Medicines)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"80363"	82	"Lamotrigine 200mg tablets (Actavis UK Ltd)"	"Lamotrigine"	"200mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Lamotrigine"
"59609"	2	"Lamotrigine 100mg dispersible tablets sugar free (A A H Pharmaceuticals Ltd)"	"Lamotrigine"	"100mg"	"Dispersible tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"90422"	0	"Lamotrigine 5mg dispersible tablets sugar free (Sigma Pharmaceuticals Plc)"	"Lamotrigine"	"5mg"	"Dispersible tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"7011"	19902	"Sodium valproate with valproic acid 300mg modified release tablets"	"Valproate/Valproic"	"300mg"	"Modified Release Tablet"	"Oral"	"Control Of Epilepsy"	"Valproate/Valproic"
"38949"	294051	"Epilim 500 gastro-resistant tablets (Sanofi)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"53893"	0	"Tegretol Prolonged Release 400mg tablets (Stephar (U.K.) Ltd)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"36318"	818	"Sodium valproate 1g modified-release granules sachets sugar free"	"Valproate"	"1gram"	"Modified-release granules"	"Oral"	"Control Of Epilepsy"	"Valproate"
"60332"	256	"Sodium valproate 200mg/5ml oral solution sugar free (Wockhardt UK Ltd)"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"Control Of Epilepsy"	"Valproate"
"20004"	23	"Epilim Intravenous 400mg powder and solvent for solution for injection vials (Sanofi)"	"Valproate"	"400mg"	"Powder and solvent for solution for injection"	"Intravenous"	"Control Of Epilepsy"	"Valproate"
"72821"	0	"Lamotrigine 50mg tablets (Kent Pharma (UK) Ltd)"	"Lamotrigine"	"50mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Lamotrigine"
"65838"	0	"Lithium carbonate 400mg modified-release tablets (DE Pharmaceuticals)"	"Lithium"	"400mg"	"Modified-release tablet"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"71621"	155	"Sodium valproate 200mg gastro-resistant tablets (Zentiva Pharma UK Ltd)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"70901"	16	"Carbamazepine 100mg tablets (Waymade Healthcare Plc)"	"Carbamazepine"	"100mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"66417"	124	"Lamotrigine 200mg tablets (Teva UK Ltd)"	"Lamotrigine"	"200mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"6409"	2870	"Lamotrigine 2mg dispersible tablets sugar free"	"Lamotrigine"	"2mg"	"Dispersible tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"70939"	0	"Lamotrigine 25mg tablets (Waymade Healthcare Plc)"	"Lamotrigine"	"25mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"5076"	1375043	"Lamotrigine 100mg tablets"	"Lamotrigine"	"100mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"43417"	442	"Carbamazepine 400mg tablets (A A H Pharmaceuticals Ltd)"	"Carbamazepine"	"400mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"8827"	3814	"Lithium carbonate 300mg Modified-release tablet"	"Lithium"	"300mg"	"Modified-Release Tablet"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"74482"	1	"Valproic acid 250mg/5ml oral suspension"	"Valproate/Valproic"	"50mg/1ml"	"Oral suspension"	"Oral"	"Products Used For Mania And Hypomania/Control Of Epilepsy"	"Valproate/Valproic"
"4982"	14912	"Carbamazepine 100mg chewable tablets sugar free"	"Carbamazepine"	"100mg"	"Chewable tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"45903"	332250	"Tegretol Prolonged Release 400mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"52840"	211	"Tegretol Prolonged Release 400mg tablets (Necessity Supplies Ltd)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"47294"	4	"Carbamazepine sr 400mg Tablet (IVAX Pharmaceuticals UK Ltd)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"Products Used For Mania And Hypomania/Control Of Epilepsy"	"Carbamazepine"
"4586"	91011	"Lamictal 25mg tablets (GlaxoSmithKline UK Ltd)"	"Lamotrigine"	"25mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"58515"	0	"Tegretol 100mg/5ml liquid (Lexon (UK) Ltd)"	"Carbamazepine"	"20mg/1ml"	"Oral suspension"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"51751"	260	"Sodium valproate 200mg gastro-resistant tablets (Wockhardt UK Ltd)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"56427"	1	"Lithium citrate 509mg/5ml oral solution (Cubic Pharmaceuticals Ltd)"	"Lithium"	"101.8mg/1ml"	"Oral solution"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"40403"	18	"Carbamazepine 400mg Modified-release tablet (Lagap)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"Products Used For Mania And Hypomania/Control Of Epilepsy"	"Carbamazepine"
"39930"	3256	"Epilim Chronosphere MR 50mg granules sachets (Sanofi)"	"Valproate"	"50mg"	"Modified-release granules"	"Oral"	"Control Of Epilepsy"	"Valproate"
"83362"	20	"Lamotrigine 25mg/5ml oral solution"	"Lamotrigine"	"5mg/1ml"	"Oral solution"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"66974"	15	"Lamotrigine 100mg tablets (Bristol Laboratories Ltd)"	"Lamotrigine"	"100mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"63341"	1377	"Tegretol Prolonged Release 200mg tablets (Lexon (UK) Ltd)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"77468"	152	"Lamotrigine 25mg dispersible tablets sugar free (Waymade Healthcare Plc)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"78519"	2	"Lamictal 200mg tablets (Lexon (UK) Ltd)"	"Lamotrigine"	"200mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"45419"	357	"Sodium valproate 50mg modified-release granules sachets sugar free"	"Valproate"	"50mg"	"Modified-release granules"	"Oral"	"Control Of Epilepsy"	"Valproate"
"62457"	124	"Carbamazepine 100mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Carbamazepine"	"100mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"79384"	1	"Carbamazepine 200mg Tablet (Berk Pharmaceuticals Ltd)"	"Carbamazepine"	"200mg"	"Oral tablet"	"Oral"	"Products Used For Mania And Hypomania/Control Of Epilepsy"	"Carbamazepine"
"46774"	187	"Sodium valproate 500mg gastro-resistant tablets (Teva UK Ltd)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"77514"	11	"Sodium valproate 500mg gastro-resistant tablets (Wockhardt UK Ltd)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"80371"	153	"Lamotrigine 100mg tablets (Viatris UK Healthcare Ltd)"	"Lamotrigine"	"100mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"35024"	27706	"Sodium valproate 300mg modified-release capsules"	"Valproate"	"300mg"	"Modified-release capsule"	"Oral"	"Control Of Epilepsy"	"Valproate"
"54276"	10	"Lamotrigine 5mg dispersible tablets sugar free (Actavis UK Ltd)"	"Lamotrigine"	"5mg"	"Dispersible tablet"	"Oral"	"Control Of Epilepsy"	"Lamotrigine"
"5722"	20451	"Lamictal 100mg dispersible tablets (GlaxoSmithKline UK Ltd)"	"Lamotrigine"	"100mg"	"Dispersible tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"84099"	3	"Carbamazepine 200mg tablets (Medihealth (Northern) Ltd)"	"Carbamazepine"	"200mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"34414"	6	"Sodium valproate 200mg Tablet (Sterwin Medicines)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"69155"	6	"Carbamazepine 40mg/5ml oral suspension"	"Carbamazepine"	"8mg/1ml"	"Oral suspension"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"40070"	15	"Sodium valproate 300mg/3ml solution for injection ampoules"	"Valproate"	"100mg/1ml"	"Solution for injection"	"Intravenous"	"Control Of Epilepsy"	"Valproate"
"39039"	58112	"Sodium valproate 200mg modified-release tablets"	"Valproate"	"200mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"82530"	122	"Tegretol Prolonged Release 400mg tablets (Dowelhurst Ltd)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"3107"	1086596	"Epilim Chrono 500 tablets (Sanofi)"	"Valproate"	"500mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"78250"	7	"Carbamazepine 400mg tablets (Actavis UK Ltd)"	"Carbamazepine"	"400mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"87987"	32	"Lamotrigine 25mg/5ml oral suspension"	"Lamotrigine"	"5mg/1ml"	"Oral suspension"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"12403"	42207	"Camcolit 400 modified-release tablets (Essential Pharma Ltd)"	"Lithium"	"400mg"	"Modified-release tablet"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"51501"	1	"Lamictal 25mg tablets (Lexon (UK) Ltd)"	"Lamotrigine"	"25mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"89177"	128	"Lamotrigine 50mg tablets (Dowelhurst Ltd)"	"Lamotrigine"	"50mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Lamotrigine"
"34151"	29	"Valproate sodium 500mg Gastro-resistant tablet (IVAX Pharmaceuticals UK Ltd)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"15082"	469	"Tegretol 250mg suppositories (Essential Pharma Ltd)"	"Carbamazepine"	"250mg"	"Suppository"	"Rectal"	"Control Of Epilepsy"	"Carbamazepine"
"47817"	10	"Lamotrigine 50mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Lamotrigine"	"50mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Lamotrigine"
"60181"	1427	"Carbagen 100mg tablets (Viatris UK Healthcare Ltd)"	"Carbamazepine"	"100mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"47963"	0	"Lamotrigine 25mg tablets (Fannin (UK) Ltd)"	"Lamotrigine"	"25mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Lamotrigine"
"61624"	44	"Lamotrigine 100mg tablets (Accord-UK Ltd)"	"Lamotrigine"	"100mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"45572"	15	"Lamotrigine 50mg Suppository"	"Lamotrigine"	"50mg"	"Suppository"	"Rectal"	"Control Of Epilepsy"	"Lamotrigine"
"77187"	9	"Lamotrigine 50mg tablets (Consilient Health Ltd)"	"Lamotrigine"	"50mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Lamotrigine"
"30509"	9	"Timonil retard 400mg Modified-release tablet (C P Pharmaceuticals Ltd)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"Products Used For Mania And Hypomania/Control Of Epilepsy"	"Carbamazepine"
"4495"	85509	"Epilim 200mg/5ml syrup (Sanofi)"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"Control Of Epilepsy"	"Valproate"
"66375"	19	"Carbamazepine 400mg modified-release tablets (Phoenix Healthcare Distribution Ltd)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"81646"	8	"Lamotrigine 25mg tablets (Milpharm Ltd)"	"Lamotrigine"	"25mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"596"	210717	"Carbamazepine 100mg/5ml oral suspension sugar free"	"Carbamazepine"	"20mg/1ml"	"Oral suspension"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"55644"	16	"Lamotrigine 25mg tablets (Bristol Laboratories Ltd)"	"Lamotrigine"	"25mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"17429"	494	"Carbamazepine 125mg suppositories"	"Carbamazepine"	"125mg"	"Suppository"	"Rectal"	"Control Of Epilepsy"	"Carbamazepine"
"67904"	15	"Lamotrigine 50mg tablets (Bristol Laboratories Ltd)"	"Lamotrigine"	"50mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"32920"	17	"Lamotrigine 25mg tablets (Viatris UK Healthcare Ltd)"	"Lamotrigine"	"25mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"59211"	21	"Carbamazepine 200mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Carbamazepine"	"200mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"60424"	0	"Lamictal 25mg dispersible tablets (Lexon (UK) Ltd)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"53197"	4	"Sodium valproate 300mg modified-release tablets (Sigma Pharmaceuticals Plc)"	"Valproate"	"300mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"82449"	0	"Tegretol 100mg/5ml liquid (Necessity Supplies Ltd)"	"Carbamazepine"	"20mg/1ml"	"Oral suspension"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"11491"	7345	"Lithium citrate 520mg/5ml oral solution sugar free"	"Lithium"	"104mg/1ml"	"Oral solution"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"53459"	474	"Priadel 400mg modified-release tablets (DE Pharmaceuticals)"	"Lithium"	"400mg"	"Modified-release tablet"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"3734"	616162	"Epilim Chrono 200 tablets (Sanofi)"	"Valproate"	"200mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"61143"	31	"Carbamazepine 100mg tablets (Actavis UK Ltd)"	"Carbamazepine"	"100mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"19526"	226	"EPILIM CRUSHABLE"	"Valproate"	NA	NA	NA	"Unknown"	"Valproate"
"46775"	38	"Lamotrigine 50mg tablets (Teva UK Ltd)"	"Lamotrigine"	"50mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"46888"	4	"Carbamazepine 200mg Modified-release tablet (Generics (UK) Ltd)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"Products Used For Mania And Hypomania/Control Of Epilepsy"	"Carbamazepine"
"2119"	3189	"Efalith ointment (Scotia Pharmaceuticals Ltd)"	"Lithium"	"500microgram/1gram + 80mg/1gram"	"Cutaneous ointment"	"Cutaneous"	"Unknown"	"Lithium"
"78008"	11	"Lamotrigine 5mg dispersible tablets sugar free (Teva UK Ltd)"	"Lamotrigine"	"5mg"	"Dispersible tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"9168"	952	"SOD VALPROATE C/R 200 MG TAB"	"Valproate"	NA	"Tablet"	"Oral"	"Unknown"	"Valproate"
"5658"	150068	"Lamotrigine 25mg dispersible tablets sugar free"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"32900"	89	"Carbamazepine sr 200mg Tablet (IVAX Pharmaceuticals UK Ltd)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"Products Used For Mania And Hypomania/Control Of Epilepsy"	"Carbamazepine"
"63989"	0	"Lithium carbonate 400mg modified-release tablets (Niche Pharma Ltd)"	"Lithium"	"400mg"	"Modified-release tablet"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"76453"	21	"Carbamazepine 200mg/5ml oral solution (Special Order)"	"Carbamazepine"	"40mg/1ml"	"Oral solution"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"91038"	1	"Sodium valproate 75mg/5ml oral solution"	"Valproate"	"15mg/1ml"	"Oral solution"	"Oral"	"Control Of Epilepsy"	"Valproate"
"37584"	8643	"Episenta 500mg modified-release granules sachets (Desitin Pharma Ltd)"	"Valproate"	"500mg"	"Modified-release granules"	"Oral"	"Products Used For Mania And Hypomania/Control Of Epilepsy"	"Valproate"
"90498"	34	"Lamotrigine 10mg/ml oral suspension sugar free"	"Lamotrigine"	"10mg/1ml"	"Oral suspension"	"Oral"	"Products Used For Mania And Hypomania/Control Of Epilepsy"	"Lamotrigine"
"83989"	2	"Carbamazepine 100mg tablets (Medreich Plc)"	"Carbamazepine"	"100mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"89438"	1	"Sodium valproate 400mg/4ml solution for injection vials"	"Valproate"	"100mg/1ml"	"Solution for injection"	"Intravenous"	"Control Of Epilepsy"	"Valproate"
"71149"	302	"Tegretol Prolonged Release 400mg tablets (Waymade Healthcare Plc)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"8041"	56060	"Lithium carbonate 250mg tablets"	"Lithium"	"250mg"	"Oral tablet"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"65969"	7	"Lamotrigine 5mg/5ml oral solution"	"Lamotrigine"	"1mg/1ml"	"Oral solution"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"80601"	9664	"Syonell 500mg gastro-resistant tablets (Lupin Healthcare (UK) Ltd)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"Products Used For Mania And Hypomania/Prophylaxis Of Migraine"	"Valproate"
"82999"	0	"Lamotrigine 50mg tablets (Viatris UK Healthcare Ltd)"	"Lamotrigine"	"50mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"12835"	286	"Lithium with zinc sulphate 8% + 0.05% Cream"	"Lithium"	"8% + 0.05%"	"Cream"	"Topical"	"Preparations For Eczema"	"Lithium"
"39276"	25	"Sodium valproate with valproic acid 250mg modified release granules"	"Valproate/Valproic"	"250mg"	"Modified Release Granules"	"Oral"	"Control Of Epilepsy"	"Valproate/Valproic"
"83899"	1	"Lamotrigine 200mg/5ml oral suspension"	"Lamotrigine"	"40mg/1ml"	"Oral suspension"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"60133"	836	"Tegretol Prolonged Release 400mg tablets (Sigma Pharmaceuticals Plc)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"78727"	12	"Sodium valproate 500mg gastro-resistant tablets (Viatris UK Healthcare Ltd)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"82562"	50	"Lamictal 200mg tablets (Waymade Healthcare Plc)"	"Lamotrigine"	"200mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Lamotrigine"
"59430"	15	"Carbamazepine 400mg tablets (Almus Pharmaceuticals Ltd)"	"Carbamazepine"	"400mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"81608"	978	"Sodium valproate 500mg gastro-resistant tablets (IVAX Pharmaceuticals UK Ltd)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"83110"	1	"Lamictal 25mg tablets (Sigma Pharmaceuticals Plc)"	"Lamotrigine"	"25mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
