"prodcode"	"dmdcode"	"gemscriptcode"	"productname"	"drugsubstance"	"strength"	"formulation"	"route"	"bnfcode"	"bnfchapter"	"Statin"
"64104"	28988511000001108	"47996021"	"Simvastatin 20mg tablets (Crescent Pharma Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"64180"	28918311000001104	"47995021"	"Simvastatin 10mg tablets (Crescent Pharma Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"64307"	28918111000001100	"47997021"	"Simvastatin 40mg tablets (Crescent Pharma Ltd)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"64702"	21099211000001100	"44117020"	"Atorvastatin 30mg tablets (A A H Pharmaceuticals Ltd)"	"Atorvastatin calcium trihydrate"	"30mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"64810"	22202111000001108	"14786021"	"Atorvastatin 40mg tablets (Phoenix Healthcare Distribution Ltd)"	"Atorvastatin calcium trihydrate"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"64825"	22201511000001108	"14784021"	"Atorvastatin 10mg tablets (Phoenix Healthcare Distribution Ltd)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"64868"	29772511000001108	"52201021"	"Atorvastatin 40mg tablets (Sigma Pharmaceuticals Plc)"	"Atorvastatin calcium trihydrate"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"64968"	30097311000001108	"53343021"	"Simvastatin 10mg tablets (DE Pharmaceuticals)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"65181"	30097711000001108	"53345021"	"Simvastatin 40mg tablets (DE Pharmaceuticals)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"65193"	22940911000001104	"17407021"	"Atorvastatin 20mg tablets (Ranbaxy (UK) Ltd)"	"Atorvastatin calcium trihydrate"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"65679"	30097511000001104	"53344021"	"Simvastatin 20mg tablets (DE Pharmaceuticals)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"65901"	10733711000001108	"73837020"	"Simvastatin 40mg tablets (Zentiva)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"65925"	17841911000001100	"37403020"	"Simvastatin 20mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd)"	"Simvastatin"	"4mg/1ml"	"Oral suspension"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"66505"	32234311000001108	"65936021"	"Fenofibrate 145mg / Simvastatin 40mg tablets"	"Simvastatin/Fenofibrate"	"40mg + 145mg"	"Tablet"	"Oral"	"02120300/02120400"	"Fibrates/Statins"	"Other"
"66780"	32234211000001100	"65934021"	"Fenofibrate 145mg / Simvastatin 20mg tablets"	"Simvastatin/Fenofibrate"	"20mg + 145mg"	"Tablet"	"Oral"	"02120300/02120400"	"Fibrates/Statins"	"Other"
"66963"	29772911000001100	"52136021"	"Atorvastatin 80mg tablets (Sigma Pharmaceuticals Plc)"	"Atorvastatin calcium trihydrate"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"67098"	32494611000001108	"66010021"	"Simvastatin 10mg tablets (Brown & Burk UK Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"67328"	16499511000001108	"02596020"	"Lescol XL 80mg tablets (Mawdsley-Brooks & Company Ltd)"	"Fluvastatin sodium"	"80mg"	"Modified-release tablet"	"Oral"	"02120400"	"Statins"	"fluvastatin"
"67402"	32395011000001108	"62259021"	"Atorvastatin 40mg tablets (Kent Pharmaceuticals Ltd)"	"Atorvastatin calcium trihydrate"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"67573"	22612811000001104	"16674021"	"Atorvastatin 10mg tablets (DE Pharmaceuticals)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"67660"	22941511000001104	"17393021"	"Atorvastatin 80mg tablets (Ranbaxy (UK) Ltd)"	"Atorvastatin calcium trihydrate"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"67745"	10733011000001108	"73830020"	"Simvastatin 10mg tablets (Zentiva)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"67773"	10733511000001104	"73834020"	"Simvastatin 20mg tablets (Zentiva)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"67829"	7998011000001108	"68340020"	"Pravastatin 20mg tablets (Sandoz Ltd)"	"Pravastatin sodium"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"67846"	22047311000001108	"47178020"	"Atorvastatin 10mg tablets (Almus Pharmaceuticals Ltd)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"68023"	20496111000001100	"41340020"	"Atorvastatin 10mg tablets (Aspire Pharma Ltd)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"68048"	22201711000001104	"14785021"	"Atorvastatin 20mg tablets (Phoenix Healthcare Distribution Ltd)"	"Atorvastatin calcium trihydrate"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"68156"	7976411000001108	"68196020"	"Pravastatin 10mg tablets (A A H Pharmaceuticals Ltd)"	"Pravastatin sodium"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"68467"	32394811000001104	"62258021"	"Atorvastatin 20mg tablets (Kent Pharmaceuticals Ltd)"	"Atorvastatin calcium trihydrate"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"68563"	32495011000001104	"66012021"	"Simvastatin 40mg tablets (Brown & Burk UK Ltd)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"68686"	33555611000001104	"70624021"	"Simvastatin 20mg tablets (Genesis Pharmaceuticals Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"68785"	33556411000001104	"70625021"	"Atorvastatin 10mg tablets (Mylan)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"68827"	33556611000001108	"70626021"	"Atorvastatin 20mg tablets (Mylan)"	"Atorvastatin calcium trihydrate"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"69093"	20573911000001108	"41890020"	"Atorvastatin 80mg tablets (Wockhardt UK Ltd)"	"Atorvastatin calcium trihydrate"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"69413"	32494811000001108	"66011021"	"Simvastatin 20mg tablets (Brown & Burk UK Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"69427"	33556811000001108	"70627021"	"Atorvastatin 40mg tablets (Mylan)"	"Atorvastatin calcium trihydrate"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"69528"	32170911000001100	"65935021"	"Cholib 145mg/20mg tablets (Mylan)"	"Simvastatin/Fenofibrate"	"20mg + 145mg"	"Tablet"	"Oral"	"02120300/02120400"	"Fibrates/Statins"	"Other"
"70308"	14212311000001104	"10678020"	"Crestor 20mg tablets (Sigma Pharmaceuticals Plc)"	"Rosuvastatin calcium"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"70486"	32169911000001104	"65937021"	"Cholib 145mg/40mg tablets (Mylan)"	"Simvastatin/Fenofibrate"	"40mg + 145mg"	"Tablet"	"Oral"	"02120300/02120400"	"Fibrates/Statins"	"Other"
"70693"	29771911000001108	"52199021"	"Atorvastatin 10mg tablets (Sigma Pharmaceuticals Plc)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"70987"	20982011000001104	"43827020"	"Atorvastatin 10mg tablets (Dr Reddy's Laboratories (UK) Ltd)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"71014"	11580111000001100	"10675020"	"Rosuvastatin 20mg tablets (Waymade Healthcare Plc)"	"Rosuvastatin calcium"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"71015"	19731611000001100	"38513020"	"Pravastatin 10mg tablets (Medreich Plc)"	"Pravastatin sodium"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"71017"	20982411000001108	"43828020"	"Atorvastatin 20mg tablets (Dr Reddy's Laboratories (UK) Ltd)"	"Atorvastatin calcium trihydrate"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"71029"	20289511000001104	"40520020"	"Fluvastatin 40mg capsules (Sandoz Ltd)"	"Fluvastatin sodium"	"40mg"	"Capsule"	"Oral"	"02120400"	"Statins"	"fluvastatin"
"71773"	32495311000001100	"66013021"	"Simvastatin 80mg tablets (Brown & Burk UK Ltd)"	"Simvastatin"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"72048"	7959111000001108	"68377020"	"Pravastatin 40mg tablets (Actavis UK Ltd)"	"Pravastatin sodium"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"72050"	33654911000001100	"71081021"	"Simvastatin 10mg tablets (Genesis Pharmaceuticals Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"72149"	14957811000001102	"35881020"	"Pravastatin 5mg/5ml oral suspension"	"Pravastatin sodium"	"1mg/1ml"	"Oral suspension"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"72164"	34961811000001104	"78966021"	"Atorvastatin 20mg tablets (Bristol Laboratories Ltd)"	"Atorvastatin calcium trihydrate"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"72213"	20572711000001104	"41914020"	"Atorvastatin 20mg tablets (Wockhardt UK Ltd)"	"Atorvastatin calcium trihydrate"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"72308"	14037111000001100	"02573020"	"Fluvastatin 20mg capsules (Alliance Healthcare (Distribution) Ltd)"	"Fluvastatin sodium"	"20mg"	"Capsule"	"Oral"	"02120400"	"Statins"	"fluvastatin"
"72641"	14158811000001100	"35415020"	"Atorvastatin 40mg/5ml oral solution"	"Atorvastatin calcium trihydrate"	"8mg/1ml"	"Oral solution"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"73025"	35027811000001104	"79185021"	"Rosuvastatin 20mg tablets (Mylan)"	"Rosuvastatin calcium"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"73383"	16238111000001104	"77029020"	"Fluvastatin 40mg capsules (Actavis UK Ltd)"	"Fluvastatin sodium"	"40mg"	"Capsule"	"Oral"	"02120400"	"Statins"	"fluvastatin"
"73520"	13923011000001100	"02617020"	"Lipitor 20mg tablets (DE Pharmaceuticals)"	"Atorvastatin calcium trihydrate"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"74085"	14765111000001100	"02586020"	"Lescol 40mg capsules (Sigma Pharmaceuticals Plc)"	"Fluvastatin sodium"	"40mg"	"Capsule"	"Oral"	"02120400"	"Statins"	"fluvastatin"
"74518"	20572511000001108	"41911020"	"Atorvastatin 10mg tablets (Wockhardt UK Ltd)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"74552"	35183311000001104	"79836021"	"Rosuvastatin 10mg tablets (Milpharm Ltd)"	"Rosuvastatin calcium"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"75134"	4464511000001100	"66048020"	"Simvastatin 80mg tablets (Mylan)"	"Simvastatin"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"75391"	34682311000001100	"78125021"	"Atorvastatin 80mg/5ml oral suspension"	"Atorvastatin calcium trihydrate"	"16mg/1ml"	"Oral suspension"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"75622"	NA	"44118020"	"Atorvastatin 60mg tablets (A A H Pharmaceuticals Ltd)"	"Atorvastatin calcium trihydrate"	"60mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"75826"	NA	"68374020"	"Pravastatin 20mg tablets (Actavis UK Ltd)"	"Pravastatin sodium"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"75971"	NA	"79180021"	"Rosuvastatin 10mg tablets (Sandoz Ltd)"	"Rosuvastatin calcium"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"76120"	NA	"79177021"	"Rosuvastatin 10mg tablets (Teva UK Ltd)"	"Rosuvastatin calcium"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"76481"	NA	"77021020"	"Simvastatin 80mg Tablet (Dexcel-Pharma Ltd)"	"Simvastatin"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"76594"	NA	"66330020"	"Simvastatin 40mg tablets (Tillomed Laboratories Ltd)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"77306"	NA	"21346021"	"Nandovar XL 80mg tablets (Sandoz Ltd)"	"Fluvastatin sodium"	"80mg"	"Modified-release tablet"	"Oral"	"02120400"	"Statins"	"fluvastatin"
"77344"	NA	"70602021"	"Atorvastatin 80mg tablets (Mylan)"	"Atorvastatin calcium trihydrate"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"77357"	NA	"02498020"	"Zocor 20mg tablets (Waymade Healthcare Plc)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"77358"	NA	"02481020"	"Zocor 10mg tablets (Waymade Healthcare Plc)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"77394"	NA	"02547020"	"Lipostat 20mg tablets (Dowelhurst Ltd)"	"Pravastatin sodium"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"77425"	NA	"02575020"	"Lescol 20mg capsules (Sigma Pharmaceuticals Plc)"	"Fluvastatin sodium"	"20mg"	"Capsule"	"Oral"	"02120400"	"Statins"	"fluvastatin"
"77427"	NA	"02600020"	"Lipitor 10mg tablets (Waymade Healthcare Plc)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"77434"	NA	"02613020"	"Lipitor 20mg tablets (Waymade Healthcare Plc)"	"Atorvastatin calcium trihydrate"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"77470"	NA	"02493020"	"Zocor 10mg tablets (Necessity Supplies Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"77471"	NA	"02509020"	"Zocor 20mg tablets (Necessity Supplies Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"77472"	NA	"02588020"	"Lescol 40mg capsules (Lexon (UK) Ltd)"	"Fluvastatin sodium"	"40mg"	"Capsule"	"Oral"	"02120400"	"Statins"	"fluvastatin"
"77782"	NA	"85107021"	"Atorvastatin 40mg tablets (Bristol Laboratories Ltd)"	"Atorvastatin calcium trihydrate"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"78145"	NA	"02563020"	"Pravastatin 40mg tablets (Phoenix Healthcare Distribution Ltd)"	"Pravastatin sodium"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"78147"	NA	"68442020"	"Pravastatin 10mg tablets (PLIVA Pharma Ltd)"	"Pravastatin sodium"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"78259"	NA	"37404020"	"Simvastatin 20mg/5ml oral suspension sugar free (Sigma Pharmaceuticals Plc)"	"Simvastatin"	"4mg/1ml"	"Oral suspension"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"78993"	NA	"20177021"	"Fluvastatin 80mg modified-release tablets (Waymade Healthcare Plc)"	""	""	""	""	"02120400"	"Statins"	"fluvastatin"
"79426"	NA	"85098021"	"Atorvastatin 80mg tablets (Bristol Laboratories Ltd)"	""	""	""	""	"02120400"	"Statins"	"Atorvastatin"
"79517"	NA	"79198021"	"Rosuvastatin 5mg tablets (Sandoz Ltd)"	"Rosuvastatin calcium"	"5mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"80119"	NA	"79458021"	"Atorvastatin 80mg tablets (Milpharm Ltd)"	"Atorvastatin calcium trihydrate"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"80127"	NA	"86944021"	"Pravastatin 20mg tablets (Mawdsley-Brooks & Company Ltd)"	"Pravastatin sodium"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"80263"	NA	"79194021"	"Rosuvastatin 5mg tablets (Mylan)"	"Rosuvastatin calcium"	"5mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"80312"	NA	"79179021"	"Rosuvastatin 10mg tablets (Accord Healthcare Ltd)"	"Rosuvastatin calcium"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"80365"	NA	"02537020"	"Pravastatin 10mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Pravastatin sodium"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"81205"	NA	"90044021"	"Rosuvastatin 20mg tablets (DE Pharmaceuticals)"	"Rosuvastatin calcium"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"81602"	NA	"79178021"	"Rosuvastatin 10mg tablets (A A H Pharmaceuticals Ltd)"	"Rosuvastatin calcium"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"82306"	NA	"10673020"	"Crestor 10mg tablets (Necessity Supplies Ltd)"	"Rosuvastatin calcium"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"82329"	NA	"40519020"	"Fluvastatin 20mg capsules (Sandoz Ltd)"	"Fluvastatin sodium"	"20mg"	"Capsule"	"Oral"	"02120400"	"Statins"	"fluvastatin"
"82516"	NA	"02545020"	"Lipostat 20mg tablets (Waymade Healthcare Plc)"	"Pravastatin sodium"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"82524"	NA	"02569020"	"Lescol 20mg capsules (Waymade Healthcare Plc)"	"Fluvastatin sodium"	"20mg"	"Capsule"	"Oral"	"02120400"	"Statins"	"fluvastatin"
"82527"	NA	"02243020"	"Lipitor 40mg tablets (Dowelhurst Ltd)"	"Atorvastatin calcium trihydrate"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"82854"	NA	"79485021"	"Atorvastatin 40mg tablets (Milpharm Ltd)"	"Atorvastatin calcium trihydrate"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"82859"	NA	"79195021"	"Rosuvastatin 5mg tablets (Teva UK Ltd)"	"Rosuvastatin calcium"	"5mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"83132"	NA	"79192021"	"Rosuvastatin 5mg tablets (Aristo Pharma Ltd)"	"Rosuvastatin calcium"	"5mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"83279"	NA	"79196021"	"Rosuvastatin 5mg tablets (A A H Pharmaceuticals Ltd)"	"Rosuvastatin calcium"	"5mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"83443"	NA	"36402020"	"Pravastatin 40mg/5ml oral suspension"	"Pravastatin sodium"	"8mg/1ml"	"Oral suspension"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"83464"	NA	"77207020"	"Fluvastatin 20mg capsules (Mylan)"	"Fluvastatin sodium"	"20mg"	"Capsule"	"Oral"	"02120400"	"Statins"	"fluvastatin"
"83487"	NA	"77210020"	"Fluvastatin 40mg capsules (Mylan)"	"Fluvastatin sodium"	"40mg"	"Capsule"	"Oral"	"02120400"	"Statins"	"fluvastatin"
"83832"	NA	"96985021"	"Simvastatin 20mg tablets (Medihealth (Northern) Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"84456"	NA	"94564021"	"Atorvastatin 80mg tablets (Medihealth (Northern) Ltd)"	"Atorvastatin calcium trihydrate"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"84533"	NA	"02245020"	"Atorvastatin 40mg tablets (Sigma Pharmaceuticals Plc)"	"Atorvastatin calcium trihydrate"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"84662"	NA	"67928020"	"Simvastatin 80mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Simvastatin"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"84780"	NA	"99115021"	"Rosuvastatin 5mg capsules"	"Rosuvastatin calcium"	"5mg"	"Capsule"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"84807"	NA	"98824021"	"Rosuvastatin 20mg capsules"	"Rosuvastatin calcium"	"20mg"	"Capsule"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"84810"	NA	"02608020"	"Atorvastatin 10mg tablets (Mawdsley-Brooks & Company Ltd)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"84907"	NA	"99281021"	"Rosuvastatin 10mg capsules"	"Rosuvastatin calcium"	"10mg"	"Capsule"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"84931"	NA	"99117021"	"Rosuvastatin 40mg capsules"	"Rosuvastatin calcium"	"40mg"	"Capsule"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"85141"	NA	"62257021"	"Atorvastatin 10mg tablets (Kent Pharma (UK) Ltd)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"85273"	NA	"79200021"	"Rosuvastatin 5mg tablets (Sun Pharmaceutical Industries Europe B.V.)"	"Rosuvastatin calcium"	"5mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"85478"	NA	"53349021"	"Pravastatin 40mg tablets (DE Pharmaceuticals)"	"Pravastatin sodium"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"85695"	NA	"02614020"	"Atorvastatin 20mg tablets (Dowelhurst Ltd)"	"Atorvastatin calcium trihydrate"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"86254"	NA	"98582020"	"Dorisin XL 80mg tablets (Aspire Pharma Ltd)"	"Fluvastatin sodium"	"80mg"	"Modified-release tablet"	"Oral"	"02120400"	"Statins"	"fluvastatin"
"86365"	NA	"01785022"	"Atorvastatin 20mg/5ml oral suspension sugar free"	"Atorvastatin calcium trihydrate"	"4mg/1ml"	"Oral suspension"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"86375"	NA	"96646021"	"Simvastatin 10mg tablets (Medihealth (Northern) Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"86724"	NA	"79483021"	"Atorvastatin 10mg tablets (Milpharm Ltd)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"86784"	NA	"83289021"	"Atorvastatin 80mg tablets (Xiromed)"	"Atorvastatin calcium trihydrate"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"87110"	NA	"01613022"	"Rosuvastatin 5mg capsules (A A H Pharmaceuticals Ltd)"	"Rosuvastatin calcium"	"5mg"	"Capsule"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"87294"	NA	"94537021"	"Atorvastatin 40mg tablets (Medihealth (Northern) Ltd)"	"Atorvastatin calcium trihydrate"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"87335"	NA	"03232022"	"Rosuvastatin 15mg tablets"	"Rosuvastatin calcium"	"15mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"87397"	NA	"03234022"	"Rosuvastatin 30mg tablets"	"Rosuvastatin calcium"	"30mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"87497"	NA	"86940021"	"Simvastatin 20mg tablets (Mawdsley-Brooks & Company Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"87532"	NA	"95329021"	"Atorvastatin 30mg tablets (Zentiva Pharma UK Ltd)"	"Atorvastatin calcium trihydrate"	"30mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"87561"	NA	"62217021"	"Atorvastatin 80mg tablets (Kent Pharma (UK) Ltd)"	"Atorvastatin calcium trihydrate"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"87635"	NA	"01871022"	"Rosuvastatin 5mg capsules (Alliance Healthcare (Distribution) Ltd)"	"Rosuvastatin calcium"	"5mg"	"Capsule"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"87651"	NA	"37430020"	"Simvastatin 40mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd)"	"Simvastatin"	"8mg/1ml"	"Oral suspension"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"87734"	NA	"02607020"	"Lipitor 10mg tablets (Lexon (UK) Ltd)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"87831"	NA	"83312021"	"Atorvastatin 10mg tablets (Xiromed)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
