"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Antipsychotic"
"8985"	11886	"Stelazine 1mg/5ml syrup (Mercury Pharma Group Ltd)"	"Trifluoperazine"	"200microgram/1ml"	"Oral solution"	"Oral"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Trifluoperazine"
"83744"	384	"Quetiapine 25mg tablets (Krka UK Ltd)"	"Quetiapine"	"25mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"63494"	12	"Risperidone 500microgram orodispersible tablets sugar free (A A H Pharmaceuticals Ltd)"	"Risperidone"	"500microgram"	"Orodispersible tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"5040"	369293	"Quetiapine 150mg tablets"	"Quetiapine"	"150mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"71670"	1	"Olanzapine 5mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Olanzapine"	"5mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"1990"	13073	"Prochlorperazine 25mg suppositories"	"Prochlorperazine"	"25mg"	"Suppository"	"Rectal"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Prochlorperazine"
"86048"	0	"Aripiprazole 10mg tablets (Bristol Laboratories Ltd)"	"Aripiprazole"	"10mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"
"84756"	1	"Zalasta 15mg orodispersible tablets (Krka UK Ltd)"	"Olanzapine"	"15mg"	"Orodispersible tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"1316"	109221	"Stelazine 5mg tablets (Mercury Pharma Group Ltd)"	"Trifluoperazine"	"5mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Trifluoperazine"
"31796"	29	"Benquil 250microgram tablets (Concord Pharmaceuticals Ltd)"	"Benperidol"	"250microgram"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Benperidol"
"23431"	23	"Olanzapine 10mg powder for solution for injection vials"	"Olanzapine"	"10mg"	"Powder for solution for injection"	"Intramuscular"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"76664"	4	"Promazine 25mg/5ml oral suspension"	"Promazine"	"5mg/1ml"	"Oral suspension"	"Oral"	"First-Generation Antipsychotic Drugs"	"Promazine"
"14364"	11973	"Prochlorperazine 12.5mg/1ml solution for injection ampoules"	"Prochlorperazine"	"12.5mg/1ml"	"Solution for injection"	"Intramuscular"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Prochlorperazine"
"2419"	379236	"Haloperidol 500microgram capsules"	"Haloperidol"	"500microgram"	"Oral capsule"	"Oral"	"First-Generation Antipsychotic Drugs"	"Haloperidol"
"63797"	11248	"Zaluron XL 150mg tablets (Fontus Health Ltd)"	"Quetiapine"	"150mg"	"Modified-release tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"1162"	135710	"Melleril 25mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Thioridazine"	"25mg"	"Oral tablet"	"Oral"	"Antipsychotic Products"	"Thioridazine"
"44024"	51732	"Quetiapine 150mg modified-release tablets"	"Quetiapine"	"150mg"	"Modified-release tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"46677"	39	"Risperidone 500microgram tablets (Actavis UK Ltd)"	"Risperidone"	"500microgram"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"72753"	0	"Risperdal 1mg/ml oral solution (Lexon (UK) Ltd)"	"Risperidone"	"1mg/1ml"	"Oral solution"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"16986"	3355	"Risperdal Quicklet 1mg orodispersible tablets (Janssen-Cilag Ltd)"	"Risperidone"	"1mg"	"Orodispersible tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"70433"	215	"Trevicta 350mg/1.75ml prolonged-release suspension for injection pre-filled syringes (Janssen-Cilag Ltd)"	"Paliperidone"	"200mg/1ml"	"Prolonged-release suspension for injection"	"Intramuscular"	"Antipsychotic Depot Injections"	"Paliperidone"
"18668"	331	"Trifluoperazine 10mg/ml concentrate"	"Trifluoperazine"	"10mg/ml"	"Concentrate"	"Oral"	"Antipsychotic Products/-"	"Trifluoperazine"
"27565"	0	"FLUANXOL"	"Flupentixol"	NA	NA	NA	"Unknown"	"Flupentixol"
"6523"	445	"Haldol 5mg/ml Injection (Janssen-Cilag Ltd)"	"Haloperidol"	"5mg/ml"	"Injection"	"Subcutaneous Infusion"	"Antipsychotic Products/-"	"Haloperidol"
"7919"	12429	"Fentazin 4mg tablets (Advanz Pharma)"	"Perphenazine"	"4mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Perphenazine"
"475"	63127	"Haloperidol 10mg tablets"	"Haloperidol"	"10mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Haloperidol"
"24053"	177	"Sulparex 200mg Tablet (E R Squibb and Sons Ltd)"	"Sulpiride"	"200mg"	"Oral tablet"	"Oral"	"Antipsychotic Products/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders"	"Sulpiride"
"20061"	38	"PERPHENAZINE 8 MG TAB"	"Perphenazine"	NA	"Tablet"	"Oral"	"Unknown"	"Perphenazine"
"89491"	95	"Zyprexa 10mg tablets (Dowelhurst Ltd)"	"Olanzapine"	"10mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"35122"	1346	"Modecate 12.5mg/0.5ml solution for injection ampoules (Sanofi)"	"Fluphenazine"	"25mg/1ml"	"Solution for injection"	"Intramuscular"	"Antipsychotic Depot Injections"	"Fluphenazine"
"90263"	2	"Chlorpromazine 25mg/ml Injection (Celltech Pharma Europe Ltd)"	"Chlorpromazine"	"25mg/ml"	"Injection"	"Intramuscular"	"Antipsychotic Products/-"	"Chlorpromazine"
"13600"	19171	"Zuclopenthixol 25mg tablets"	"Zuclopenthixol"	"25mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Zuclopenthixol"
"8153"	2872	"Serenace 2mg/ml liquid (Teva UK Ltd)"	"Haloperidol"	"2mg/1ml"	"Oral solution"	"Oral"	"First-Generation Antipsychotic Drugs"	"Haloperidol"
"55870"	46	"Quetiapine oral liquid"	"Quetiapine"	NA	"Oral solution"	"Oral"	"Antipsychotic Products"	"Quetiapine"
"40881"	324	"Neulactil 10mg tablets (Sanofi)"	"Pericyazine"	"10mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Pericyazine"
"12666"	287	"Sertindole 4mg tablets"	"Sertindole"	"4mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Sertindole"
"89747"	47	"Risperidone 4mg tablets (Sun Pharma UK Ltd)"	"Risperidone"	"4mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"77072"	2	"Risperidone 1mg tablets (Almus Pharmaceuticals Ltd)"	"Risperidone"	"1mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"59816"	7	"Psytixol 50mg/0.5ml solution for injection ampoules (Viatris UK Healthcare Ltd)"	"Flupentixol"	"100mg/1ml"	"Solution for injection"	"Intramuscular"	"Antipsychotic Depot Injections"	"Flupentixol"
"41420"	2	"Haloperidol 500microgram tablets (Sandoz Ltd)"	"Haloperidol"	"500microgram"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Haloperidol"
"89305"	0	"Haloperidol 5mg/1ml solution for injection ampoules (A A H Pharmaceuticals Ltd)"	"Haloperidol"	"5mg/1ml"	"Solution for injection"	"Intravenous/Intramuscular"	"First-Generation Antipsychotic Drugs"	"Haloperidol"
"88433"	0	"Risperidone 2mg orodispersible tablets sugar free (Alliance Healthcare (Distribution) Ltd)"	"Risperidone"	"2mg"	"Orodispersible tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"77606"	55	"Invega 3mg modified-release tablets (Janssen-Cilag Ltd)"	"Paliperidone"	"3mg"	"Modified-release tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Paliperidone"
"91494"	2	"Aripiprazole 2.5mg tablets"	"Aripiprazole"	"2.5mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"
"15472"	248	"Pericyazine 25mg tablet"	"Pericyazine"	"25mg"	"Tablets"	"Oral"	"Antipsychotic Products"	"Pericyazine"
"7390"	25646	"Levomepromazine 6mg tablets"	"Levomepromazine"	"6mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Levomepromazine"
"57612"	26	"Seroquel XL 400mg tablets (Lexon (UK) Ltd)"	"Quetiapine"	"400mg"	"Modified-release tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"8637"	1520	"Pimozide 10mg tablet"	"Pimozide"	"10mg"	"Tablets"	"Oral"	"Antipsychotic Products"	"Pimozide"
"12615"	1912	"Loxapine 25mg capsules"	"Loxapine"	"25mg"	"Oral capsule"	"Oral"	"Unknown"	"Loxapine"
"23678"	187	"Haldol 10mg tablets (Janssen-Cilag Ltd)"	"Haloperidol"	"10mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Haloperidol"
"6064"	135782	"Levomepromazine 25mg/1ml solution for injection ampoules"	"Levomepromazine"	"25mg/1ml"	"Solution for injection"	"Intravenous/Subcutaneous/Intramuscular"	"First-Generation Antipsychotic Drugs"	"Levomepromazine"
"8377"	1113	"Fluphenazine 2.5mg tablets"	"Fluphenazine"	"2.5mg"	"Oral tablet"	"Oral"	"Unknown"	"Fluphenazine"
"58854"	16	"Olanzapine 10mg tablets (Actavis UK Ltd)"	"Olanzapine"	"10mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"8988"	1018	"PROMAZINE HCl 25 MG TAB"	"Promazine"	NA	"Tablet"	"Oral"	"Unknown"	"Promazine"
"66990"	3	"Prochlorperazine 3mg buccal tablets (Alliance Healthcare (Distribution) Ltd)"	"Prochlorperazine"	"3mg"	"Buccal tablet"	"Buccal"	"Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Prochlorperazine"
"49696"	277	"Quetiapine 25mg/5ml oral solution"	"Quetiapine"	"5mg/1ml"	"Oral solution"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"3774"	28548	"Clopixol 200mg/ml Oily injection (Lundbeck Ltd)"	"Zuclopenthixol"	"200mg/ml"	"Oily Injection"	"Intramuscular Deep Injection Gluteal Muscle"	"Antipsychotic Products/Antipsychotic Depot Injections"	"Zuclopenthixol"
"90304"	1	"Xyquila 10mg powder for solution for injection vials (Eramol (UK) Ltd)"	"Olanzapine"	"10mg"	"Powder for solution for injection"	"Intramuscular"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"55038"	8	"Prochlorperazine 5mg tablets (Sigma Pharmaceuticals Plc)"	"Prochlorperazine"	"5mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Prochlorperazine"
"77027"	111	"Risperidone 2mg tablets (Waymade Healthcare Plc)"	"Risperidone"	"2mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"15814"	8787	"Haloperidol decanoate 100mg/1ml solution for injection ampoules"	"Haloperidol"	"100mg/1ml"	"Solution for injection"	"Intramuscular"	"First-Generation Antipsychotic Drugs/Antipsychotic Depot Injections"	"Haloperidol"
"18023"	204	"Seroquel tablets starter pack (AstraZeneca UK Ltd)"	"Quetiapine"	NA	"Not applicable"	"Route of administration not applicable"	"Unknown"	"Quetiapine"
"2936"	100280	"Motival 10mg/500microgram tablets (Sanofi)"	"Fluphenazine"	"500microgram + 10mg"	"Oral tablet"	"Oral"	"Unknown"	"Fluphenazine"
"66427"	0	"Quetiapine 25mg tablets (Accord-UK Ltd)"	"Quetiapine"	"25mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"6573"	278376	"Aripiprazole 15mg tablets"	"Aripiprazole"	"15mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"
"55667"	11	"Olanzapine 15mg tablets (Actavis UK Ltd)"	"Olanzapine"	"15mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"2156"	47822	"Depixol 40mg/2ml solution for injection ampoules (Lundbeck Ltd)"	"Flupentixol"	"20mg/1ml"	"Solution for injection"	"Intramuscular"	"Antipsychotic Depot Injections"	"Flupentixol"
"41702"	3	"Amisulpride 100mg tablets (Zentiva Pharma UK Ltd)"	"Amisulpride"	"100mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Amisulpride"
"35176"	4325	"Fluphenazine decanoate 100mg/1ml solution for injection ampoules"	"Fluphenazine"	"100mg/1ml"	"Solution for injection"	"Intramuscular"	"Antipsychotic Depot Injections"	"Fluphenazine"
"62531"	33	"Atrolak XL 400mg tablets (Accord-UK Ltd)"	"Quetiapine"	"400mg"	"Modified-release tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"50462"	28	"Stemetil 5mg tablets (DE Pharmaceuticals)"	"Prochlorperazine"	"5mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Prochlorperazine"
"57605"	279	"Stelazine 1mg tablets (Lexon (UK) Ltd)"	"Trifluoperazine"	"1mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Trifluoperazine"
"23659"	3	"Trifluperidol 0.5mg Tablet"	"Trifluperidol"	"0.5mg"	"Tablet"	"Oral"	"Antipsychotic Products"	"Trifluperidol"
"34344"	337	"Prochlorperazine 5mg tablets (A A H Pharmaceuticals Ltd)"	"Prochlorperazine"	"5mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Prochlorperazine"
"3490"	6907	"Amitriptyline 10mg / Perphenazine 2mg tablets"	"Perphenazine"	"10mg + 2mg"	"Oral tablet"	"Oral"	"Unknown"	"Perphenazine"
"70219"	80	"Olanzapine 5mg orodispersible tablets (Teva UK Ltd)"	"Olanzapine"	"5mg"	"Orodispersible tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"12195"	8804	"Pericyazine 10mg/5ml oral solution"	"Pericyazine"	"2mg/1ml"	"Oral solution"	"Oral"	"First-Generation Antipsychotic Drugs"	"Pericyazine"
"84004"	1	"Quetiapine 300mg tablets (Milpharm Ltd)"	"Quetiapine"	"300mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"5712"	18290	"Depixol 3mg tablets (Lundbeck Ltd)"	"Flupentixol"	"3mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Flupentixol"
"5262"	10338	"Risperdal 1mg/ml oral solution (Janssen-Cilag Ltd)"	"Risperidone"	"1mg/1ml"	"Oral solution"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"58936"	19	"Tenprolide XL 50mg tablets (Actavis UK Ltd)"	"Quetiapine"	"50mg"	"Modified-release tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"84253"	0	"Aripiprazole 5mg tablets (Teva UK Ltd)"	"Aripiprazole"	"5mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"
"35589"	3243	"Risperidone 4mg orodispersible tablets sugar free"	"Risperidone"	"4mg"	"Orodispersible tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"38080"	601	"Abilify 1mg/ml oral solution (Otsuka Pharmaceuticals (U.K.) Ltd)"	"Aripiprazole"	"1mg/1ml"	"Oral solution"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"
"82946"	1	"Aripiprazole 5mg tablets (Milpharm Ltd)"	"Aripiprazole"	"5mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"
"5219"	258081	"Risperidone 3mg tablets"	"Risperidone"	"3mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"19016"	319	"Roxiam 150mg Capsule (AstraZeneca UK Ltd)"	"Remoxipride"	"150mg"	"Capsule"	"Oral"	"Antipsychotic Products"	"Remoxipride"
"10944"	3562	"Pipotiazine palmitate 50mg/ml depot injection"	"Pipotiazine"	"50mg/ml"	"Depot Injection"	"Intramuscular Deep Injection Gluteal Muscle"	"Antipsychotic Depot Injections"	"Pipotiazine"
"13620"	161	"SULPIRIDE 500 MG TAB"	"Sulpiride"	NA	"Tablet"	"Oral"	"Unknown"	"Sulpiride"
"6850"	280571	"Olanzapine 15mg tablets"	"Olanzapine"	"15mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"91282"	0	"Quetiapine 50mg tablets (A A H Pharmaceuticals Ltd)"	"Quetiapine"	"50mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"13391"	48	"SERENACE 20 MG INJ"	"Haloperidol"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Haloperidol"
"40779"	1530	"Quetiapine 100mg/5ml oral solution"	"Quetiapine"	"20mg/1ml"	"Oral solution"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"81625"	22	"Haloperidol 10mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Haloperidol"	"10mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Haloperidol"
"24457"	15	"Fentanyl with droperidol 500microgramwith2.5mg/ml Injection"	"Droperidol"	"500microgram+2.5mg/2.5ml"	"Injection"	"Intramuscular"	"Benzodiazepines (Peri-Operative)"	"Droperidol"
"1234"	10707	"Stemetil 25mg suppositories (Sanofi)"	"Prochlorperazine"	"25mg"	"Suppository"	"Rectal"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Prochlorperazine"
"31172"	174	"Chlorpromazine 50mg tablets (Teva UK Ltd)"	"Chlorpromazine"	"50mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Chlorpromazine"
"12445"	703	"Remoxipride 300mg capsule"	"Remoxipride"	"300mg"	"Capsules"	"Oral"	"Antipsychotic Products"	"Remoxipride"
"82434"	0	"Risperidone 3mg tablets (Sandoz Ltd)"	"Risperidone"	"3mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"81871"	13	"Clozapine 25mg orodispersible tablets sugar free"	"Clozapine"	"25mg"	"Orodispersible tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Clozapine"
"82074"	600	"Brancico XL 150mg tablets (Zentiva Pharma UK Ltd)"	"Quetiapine"	"150mg"	"Modified-release tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"3233"	19582	"Haloperidol 2mg/ml sugar free Liquid"	"Haloperidol"	"2mg/ml"	"Liquid"	"Oral"	"Antipsychotic Products/-"	"Haloperidol"
"62463"	254	"Latuda 37mg tablets (CNX Therapeutics Ltd)"	"Lurasidone"	"37mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Lurasidone"
"80449"	0	"Amisulpride 50mg tablets (Milpharm Ltd)"	"Amisulpride"	"50mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Amisulpride"
"49207"	9	"Haloperidol 2mg/5ml oral solution"	"Haloperidol"	"400microgram/1ml"	"Oral solution"	"Oral"	"First-Generation Antipsychotic Drugs"	"Haloperidol"
"73828"	1	"Sulpiride 150mg/5ml oral solution"	"Sulpiride"	"30mg/1ml"	"Oral solution"	"Oral"	"First-Generation Antipsychotic Drugs"	"Sulpiride"
"68346"	5	"Zalasta 20mg tablets (Krka UK Ltd)"	"Olanzapine"	"20mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"68942"	0	"Prochlorperazine 5mg tablets (DE Pharmaceuticals)"	"Prochlorperazine"	"5mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Prochlorperazine"
"2713"	83214	"Stelazine 2mg Spansules (Mercury Pharma Group Ltd)"	"Trifluoperazine"	"2mg"	"Modified-release capsule"	"Oral"	"Unknown"	"Trifluoperazine"
"90809"	1	"Paliperidone 100mg/1ml prolonged-release suspension for injection pre-filled syringes (Teva UK Ltd)"	"Paliperidone"	"100mg/1ml"	"Prolonged-release suspension for injection"	"Intramuscular"	"Antipsychotic Depot Injections"	"Paliperidone"
"56577"	386	"Olanzapine 15mg oral lyophilisates sugar free"	"Olanzapine"	"15mg"	"Oral lyophilisate"	"Oral"	"Unknown"	"Olanzapine"
"63351"	15338	"Biquelle XL 200mg tablets (Aspire Pharma Ltd)"	"Quetiapine"	"200mg"	"Modified-release tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"87756"	2	"Zaponex 100mg orodispersible tablets (Leyden Delta B.V.)"	"Clozapine"	"100mg"	"Orodispersible tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Clozapine"
"70542"	4	"Olanzapine 5mg orodispersible tablets sugar free (Alliance Healthcare (Distribution) Ltd)"	"Olanzapine"	"5mg"	"Orodispersible tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"4673"	4565	"Melleril 25mg/5ml syrup (Novartis Pharmaceuticals UK Ltd)"	"Thioridazine"	"5mg/1ml"	"Oral solution"	"Oral"	"Antipsychotic Products"	"Thioridazine"
"3246"	45231	"Stemetil 12.5mg/ml Injection (Castlemead Healthcare Ltd)"	"Prochlorperazine"	"12.5mg/ml"	"Injection"	"Intramuscular Deep Injection"	"Antipsychotic Products/-"	"Prochlorperazine"
"38913"	9646	"Seroquel XL 50mg tablets (Luye Pharma Ltd)"	"Quetiapine"	"50mg"	"Modified-release tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"17087"	2	"Perphenazine 5mg/ml injection"	"Perphenazine"	"5mg/ml"	"Injection"	"Intramuscular"	"Antipsychotic Products/-"	"Perphenazine"
"73829"	1	"Sulpiride 200mg/5ml oral solution"	"Sulpiride"	"40mg/1ml"	"Oral solution"	"Oral"	"First-Generation Antipsychotic Drugs"	"Sulpiride"
"52001"	0	"Olanzapine 2.5mg tablets (Aspire Pharma Ltd)"	"Olanzapine"	"2.5mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"79436"	2	"Olanzapine 20mg tablets (Actavis UK Ltd)"	"Olanzapine"	"20mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"14767"	18795	"Risperdal Consta 50mg powder and solvent for prolonged-release suspension for injection vials (Janssen-Cilag Ltd)"	"Risperidone"	"50mg"	"Powder and solvent for prolonged-release suspension for inj"	"Intramuscular"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"2489"	19203	"Pimozide 2mg tablets"	"Pimozide"	"2mg"	"Oral tablet"	"Oral"	"Unknown"	"Pimozide"
"11213"	586	"Haloperidol 2mg/5ml sugar free Oral solution"	"Haloperidol"	"2mg/5ml"	"Oral Solution"	"Oral"	"Antipsychotic Products/-"	"Haloperidol"
"69544"	163	"Atrolak XL 50mg tablets (Accord-UK Ltd)"	"Quetiapine"	"50mg"	"Modified-release tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"67805"	303	"Stelazine 1mg tablets (Imported (South Africa))"	"Trifluoperazine"	"1mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Trifluoperazine"
"74902"	14	"Zalasta 20mg orodispersible tablets (Krka UK Ltd)"	"Olanzapine"	"20mg"	"Orodispersible tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"28968"	6	"Serenace 20mg/2ml solution for injection ampoules (IVAX Pharmaceuticals UK Ltd)"	"Haloperidol"	"10mg/1ml"	"Solution for injection"	"Intravenous/Intramuscular"	"Unknown"	"Haloperidol"
"65493"	0	"Risperidone 1mg tablets (Wockhardt UK Ltd)"	"Risperidone"	"1mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"2620"	24177	"Haloperidol 1mg/ml Oral solution"	"Haloperidol"	"1mg/ml"	"Oral Solution"	"Oral"	"Antipsychotic Products/-"	"Haloperidol"
"54346"	0	"Risperidone 1mg tablets (Teva UK Ltd)"	"Risperidone"	"1mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"38375"	36	"Aripiprazole 9.75mg/1.3ml solution for injection vials"	"Aripiprazole"	"7.5mg/1ml"	"Solution for injection"	"Intramuscular"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"
"73656"	0	"Risperidone 2mg tablets (Almus Pharmaceuticals Ltd)"	"Risperidone"	"2mg"	"Oral tablet"	"Oral"	"Unknown"	"Risperidone"
"57613"	1	"Seroquel XL 50mg tablets (Sigma Pharmaceuticals Plc)"	"Quetiapine"	"50mg"	"Modified-release tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"13902"	709	"Neulactil Forte syrup (Sanofi)"	"Pericyazine"	"2mg/1ml"	"Oral solution"	"Oral"	"First-Generation Antipsychotic Drugs"	"Pericyazine"
"63133"	9097	"Biquelle XL 150mg tablets (Aspire Pharma Ltd)"	"Quetiapine"	"150mg"	"Modified-release tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"76428"	0	"Risperidone 1mg tablets (Almus Pharmaceuticals Ltd)"	"Risperidone"	"1mg"	"Oral tablet"	"Oral"	"Unknown"	"Risperidone"
"58425"	4	"Seroquel XL 50mg tablets (DE Pharmaceuticals)"	"Quetiapine"	"50mg"	"Modified-release tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"24358"	7887	"Abilify 10mg tablets (Otsuka Pharmaceuticals (U.K.) Ltd)"	"Aripiprazole"	"10mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"
