"productname"	"formulation"	"route"	"drugsubstance"	"strength"	"productcode"	"BNFcode"	"Term"	"AD"
"Majoven XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"12901141000033114"	""	"Majoven XL 75mg capsules (Bristol Laboratories Ltd)"	"venlafaxine"
"Majoven XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"12901241000033119"	""	"Majoven XL 150mg capsules (Bristol Laboratories Ltd)"	"venlafaxine"
"Dutor 30mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"30.000mg"	"12989441000033115"	""	"Dutor 30mg gastro-resistant capsules (Torrent Pharma (UK) Ltd)"	"duloxetine"
"Nortriptyline 10mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Nortriptyline hydrochloride"	"2.000mg/1.000ml"	"13300841000033111"	""	"Nortriptyline 10mg/5ml oral solution sugar free"	"nortriptyline"
"Nortriptyline 25mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Nortriptyline hydrochloride"	"5.000mg/1.000ml"	"13300941000033115"	""	"Nortriptyline 25mg/5ml oral solution sugar free"	"nortriptyline"
"Venlafaxine 300mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"300.000mg"	"13318341000033119"	""	"Venlafaxine 300mg modified-release tablets"	"venlafaxine"
"Venlalic XL 300mg tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"300.000mg"	"13318441000033113"	""	"Venlalic XL 300mg tablets (Ethypharm UK Ltd)"	"venlafaxine"
"Trazodone 50mg tablets"	"Tablet"	"Oral"	"Trazodone hydrochloride"	"50.000mg"	"13444241000033119"	""	"Trazodone 50mg tablets"	"trazodone"
"Trazodone 100mg tablets"	"Tablet"	"Oral"	"Trazodone hydrochloride"	"100.000mg"	"13444341000033112"	""	"Trazodone 100mg tablets"	"trazodone"
"Phenelzine 15mg capsules"	"Capsule"	"Oral"	"Phenelzine sulfate"	"15.000mg"	"13719241000033117"	""	"Phenelzine 15mg capsules"	"phenelzine"
"Fluoxetine 10mg tablets"	"Tablet"	""	"Fluoxetine hydrochloride"	"10.000mg"	"13740541000033117"	""	"Fluoxetine 10mg tablets (Imported)"	"fluoxetine"
"Fluoxetine 30mg capsules"	"Capsule"	""	"Fluoxetine hydrochloride"	"30.000mg"	"13740641000033116"	""	"Fluoxetine 30mg capsules (Imported)"	"fluoxetine"
"Sertraline 25mg tablets"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"25.000mg"	"13743641000033113"	""	"Sertraline 25mg tablets"	"sertraline"
"Phenelzine 15mg capsules"	"Capsule"	""	"Phenelzine sulfate"	"15.000mg"	"13747441000033117"	""	"Phenelzine 15mg capsules (Imported)"	"phenelzine"
"Phenelzine 15mg capsules"	"Capsule"	""	"Phenelzine sulfate"	"15.000mg"	"13747541000033116"	""	"Phenelzine 15mg capsules (Special Order)"	"phenelzine"
"Duloxetine 90mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"90.000mg"	"13898641000033112"	""	"Duloxetine 90mg gastro-resistant capsules"	"duloxetine"
"Duloxetine 120mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"120.000mg"	"13898741000033115"	""	"Duloxetine 120mg gastro-resistant capsules"	"duloxetine"
"Venlafaxine 37.5mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Venlafaxine hydrochloride"	"7.500mg/1.000ml"	"13916241000033115"	""	"Venlafaxine 37.5mg/5ml oral solution sugar free"	"venlafaxine"
"Venlafaxine 75mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Venlafaxine hydrochloride"	"15.000mg/1.000ml"	"13916341000033113"	""	"Venlafaxine 75mg/5ml oral solution sugar free"	"venlafaxine"
