"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Insulin"
"24800"	8310	"Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous/Intramuscular"	"Biphasic Insulins"	"Insulin"
"61845"	21048	"NovoRapid PumpCart 100units/ml solution for injection 1.6ml cartridges (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"11345"	976	"Bd Ultra Pen 3ml Insulin pen (Becton, Dickinson UK Ltd)"	"Insulin"	"3ml"	"Insulin Pen"	NA	"Diabetic Hypodermic Equipment"	"Insulin"
"81111"	1	"Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm safety needle 0.33mm/29gauge (Covidien (UK) Commercial Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"
"66316"	1	"Lantus 100units/ml solution for injection 10ml vials (Mawdsley-Brooks & Company Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"5501"	1745	"Insuman basal 100iu/ml Injection (Aventis Pharma)"	"Insulin"	"100iu/ml"	"Injection"	"Subcutaneous Injection"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"54028"	309	"Unifine Pentips Plus hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge (Owen Mumford Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"56639"	4228	"HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Blue (Eli Lilly and Company Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Reusable Pens"	"Insulin"
"67414"	3483	"Mylife Clickfine AutoProtect hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Ypsomed Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"48771"	2545	"Unifine Pentips Plus hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Owen Mumford Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"79694"	7	"Human Mixtard 10 Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Ltd)"	"Insulin"	"10unit/1ml + 90unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Unknown"	"Insulin"
"58878"	21	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"46666"	26956	"NovoRapid FlexTouch 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"76942"	68	"Needle free Insulin delivery system"	"Insulin"	NA	NA	NA	"Needle-Free Insulin Delivery Systems"	"Insulin"
"19878"	526	"Insulin isophane biphasic human 30/70 100units/ml suspension for injection 3ml pre-filled disposable devices"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Biphasic Insulins"	"Insulin"
"79127"	96	"4SURE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32gauge (Nipro Diagnostics (UK) Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"58449"	20546	"Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Owen Mumford Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Reusable Pens"	"Insulin"
"3439"	352	"Penmix 10/90 Pen (Novo Nordisk Ltd)"	"Insulin"	NA	"Pen"	NA	"Intermediate- And Long-Acting Insulins"	"Insulin"
"62951"	3638	"Unifine Pentips Plus hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Owen Mumford Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"38808"	14519	"NovoPen 4 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Silver (Novo Nordisk Ltd)"	"Insulin"	"3ml/1-60 units"	"Insulin Pen"	NA	"Reusable Pens"	"Insulin"
"67313"	95	"NovoRapid 100units/ml solution for injection 10ml vials (Sigma Pharmaceuticals Plc)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"63474"	47	"NeedleBay Fine Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Diabetes Care Technology Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"79700"	1	"Insuman Comb 15 100units/ml suspension for injection 5ml vials (Aventis Pharma)"	"Insulin"	"85unit/1ml + 15unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Unknown"	"Insulin"
"47588"	21	"Insulin 1ml click count"	"Insulin"	"1ml"	"Click Count 1 Ml"	NA	"-"	"Insulin"
"63152"	29159	"TriCare hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Owen Mumford Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"4784"	4412	"Lentard mc 100unit/ml Injection (Novo Nordisk Ltd)"	"Insulin"	"100unit/ml"	"Injection"	"Subcutaneous Injection"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"41834"	18	"Insulin zinc suspension lente 100iu/ml Injection (Celltech Pharma Europe Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"1843"	56635	"Pork Insulatard 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"4129"	1857	"Insulin soluble porcine 100units/ml solution for injection 1.5ml cartridges"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous/Intramuscular"	"Unknown"	"Insulin"
"1840"	82387	"Humulin s 100unit/ml Injection (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/ml"	"Injection"	"Subcutaneous Injection"	"Short-Acting Insulins/Diabetic Ketoacidosis"	"Insulin"
"15294"	1046	"Innovo hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-70 units Green (Novo Nordisk Ltd)"	"Insulin"	"3ml/1-70 units"	"Insulin Pen"	NA	"Reusable Pens"	"Insulin"
"10244"	2157	"Mixtard 40 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd)"	"Insulin"	"40unit/1ml + 60unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Unknown"	"Insulin"
"1839"	43142	"INSULIN HUMULIN I (ISOPHANE) 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"13108"	119	"Autopen Special Edition hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units (Owen Mumford Ltd)"	"Insulin"	"3ml/1-21 units"	"Insulin Pen"	NA	"Reusable Pens"	"Insulin"
"7763"	230	"INSULIN NEUPHANE (ISOPHANE)(PURIFIED) 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"8895"	12825	"Initard 50/50 100unit/ml Injection (Novo Nordisk Ltd)"	"Insulin"	"100unit/ml"	"Injection"	"Intramuscular"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"13969"	426	"U100 Insulin syringe 0.3ml"	"Insulin"	"0.3ml"	"Insulin Syringe"	NA	"Diabetic Hypodermic Equipment"	"Insulin"
"1643"	453	"INSULIN NOVO MONOTARD MC 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"13837"	431	"Insulin biphasic isophane human prb 10:90; 100 units/ml Injection"	"Insulin"	"10:90; 100 units/ml"	"Injection"	"Intramuscular"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"57388"	313	"Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 8mm safety needle 0.3mm/30gauge (Covidien (UK) Commercial Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"
"74389"	136	"Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"91131"	7	"GlucoRx Dual-Safe Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge (GlucoRx Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"31466"	50	"Exubera insulin release unit (Pfizer Ltd)"	"Insulin"	NA	"Insulin Release Units"	NA	"Insufflator For Fine Powder Inhalation"	"Insulin"
"33232"	1	"Insulin isophane biphasic human 50/50 100units/ml suspension for injection 5ml vials"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Unknown"	"Insulin"
"63464"	10934	"Humalog KwikPen 200units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)"	"Insulin"	"200unit/1ml"	"Solution for injection"	"Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"67266"	210	"Mixtard 50 Penfill 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Biphasic Insulins"	"Insulin"
"28185"	953	"Insulin lispro biphasic 25/75 100units/ml suspension for injection 3ml cartridges"	"Insulin"	"25unit/1ml + 75unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"14340"	2898	"Hypurin Bovine Isophane 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"15199"	5117	"Insuman comb 25 100iu/ml Injection (Aventis Pharma)"	"Insulin"	"100iu/ml"	"Injection"	"Subcutaneous Injection"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"86484"	6	"Humalog Tempo Pen 100units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"20422"	267	"Insuman comb 15 100iu/ml Injection (Aventis Pharma)"	"Insulin"	"85unit/1ml + 15unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"7203"	89146	"Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Owen Mumford Ltd)"	"Insulin"	"8mm/31gauge"	"Pen Needle"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"69562"	267	"Neon Verifine Safety hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Neon Diagnostics Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"21374"	321	"Insulin biphasic isophane human prb 40:60; 100 units/ml Injection"	"Insulin"	"40:60; 100 units/ml"	"Injection"	"Intramuscular"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"74845"	52	"Humulin I 100units/ml suspension for injection 10ml vials (Waymade Healthcare Plc)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"1805"	59401	"Mixtard 30/70 100unit/ml Injection (Novo Nordisk Ltd)"	"Insulin"	"100unit/ml"	"Injection"	"Subcutaneous Injection"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"22974"	2918	"Hypodermic insulin needles for pre-filled / reusable pen injectors snap on 8mm/31gauge"	"Insulin"	"8mm/31gauge"	"Hypodermic Needle"	NA	"Needle For Pre-Filled And Reusable Pen Injector-Snap On"	"Insulin"
"65432"	1911	"Glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (A. Menarini Diagnostics Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"7402"	68242	"Lantus 100units/ml solution for injection 10ml vials (Sanofi)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"36146"	106	"Insulin lispro biphasic 50/50 100units/ml suspension for injection 3ml cartridges"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"3076"	8443	"NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/30gauge (Novo Nordisk Ltd)"	"Insulin"	"6mm/30gauge"	"Pen Needle"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"19877"	3501	"Insulin aspart 100units/ml solution for injection 3ml pre-filled disposable devices"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"45158"	1877	"Insuman Comb 15 100units/ml suspension for injection 3ml cartridges (Sanofi)"	"Insulin"	"15unit/1ml + 85unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Biphasic Insulins"	"Insulin"
"74388"	71	"Humalog Mix50 100units/ml suspension for injection 3ml cartridges (Sigma Pharmaceuticals Plc)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"53437"	616	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/30gauge"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"7300"	56836	"Mixtard 30 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Biphasic Insulins"	"Insulin"
"60621"	55	"Hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 0.5-30 units"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Reusable Pens"	"Insulin"
"12299"	1849	"Semitard mc 100unit/ml Injection (Novo Nordisk Ltd)"	"Insulin"	"100unit/ml"	"Injection"	"Intramuscular"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"57153"	353	"Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm safety needle 0.3mm/30gauge (Covidien (UK) Commercial Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"
"18645"	91	"INSULIN NEUTRAL (PURIFIED) 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"22806"	1	"INSULIN PORK ACTRAPID"	"Insulin"	NA	NA	NA	"Unknown"	"Insulin"
"35078"	1798	"Optipen pro 1 blue insulin pen 3ml/1-60 units 3ml/1-60 units Insulin pen (Aventis Pharma)"	"Insulin"	"3ml/1-60 units"	"Insulin Pen"	NA	"Diabetic Hypodermic Equipment"	"Insulin"
"68744"	2237	"Neon Verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Neon Diagnostics Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"5742"	18920	"Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge (Owen Mumford Ltd)"	"Insulin"	"8mm/30gauge"	"Pen Needle"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"7793"	31498	"HumaJect M3 Pen 100units/ml suspension for injection (Eli Lilly and Company Ltd)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Biphasic Insulins"	"Insulin"
"32053"	6	"INSULIN HUMALOG MIX 25"	"Insulin"	NA	NA	NA	"Unknown"	"Insulin"
"22094"	8	"INSULIN HUMULIN M2 VIAL"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"4247"	3170	"Insulin isophane porcine 100units/ml suspension for injection 1.5ml cartridges"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Unknown"	"Insulin"
"56624"	13	"Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm safety needle 0.3mm/30gauge (Covidien (UK) Commercial Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"
"56785"	1084	"HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Red (Eli Lilly and Company Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Reusable Pens"	"Insulin"
"8841"	10810	"Humulin M5 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Unknown"	"Insulin"
"74842"	16	"Humulin M3 100units/ml suspension for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd)"	"Insulin"	"70unit/1ml + 30unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Biphasic Insulins"	"Insulin"
"1886"	164712	"Insulatard 100iu/ml GE injection (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"26621"	113	"Insulin soluble human crb 100iu/ml Injection"	"Insulin"	"100iu/ml"	"Injection"	"Intramuscular"	"Short-Acting Insulins/Diabetic Ketoacidosis"	"Insulin"
"4093"	66788	"Humulin M2 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd)"	"Insulin"	"20unit/1ml + 80unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Unknown"	"Insulin"
"64021"	7080	"GlucoRx CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (GlucoRx Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"7772"	20156	"Human protaphane 100unit/ml Injection (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"1595"	49299	"Insulatard NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"56115"	81	"Human Actrapid Penfill 100units/ml solution for injection 1.5ml cartridges (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"Unknown"	"Insulin"
"57493"	812	"HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Silver (Eli Lilly and Company Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Reusable Pens"	"Insulin"
"62276"	302	"Humulin R 500units/ml solution for injection 20ml vials (Imported (United States))"	"Insulin"	"500unit/1ml"	"Solution for injection"	"Subcutaneous"	"Insulins"	"Insulin"
"15951"	242	"Autopen Junior hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units (Owen Mumford Ltd)"	"Insulin"	"3ml/1-21 units"	"Insulin Pen"	NA	"Reusable Pens"	"Insulin"
"76163"	795	"Lantus 100units/ml solution for injection 3ml cartridges (Sigma Pharmaceuticals Plc)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"84547"	50	"Unifine SafeControl Safety Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge (Owen Mumford Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"55462"	138812	"Tresiba FlexTouch 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"37055"	53	"Comfort Point hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm needle 0.33mm/29gauge (GlucoRx Ltd)"	"Insulin"	"0.5ml"	"Insulin Syringe With 12Mm Needle(29G)"	NA	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"
"10184"	9846	"Insulin detemir 100 iu/ml Solution for injection"	"Insulin"	"100 iu/ml"	"Solution For Injection"	"Intramuscular"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"71118"	7	"Insulatard 100units/ml suspension for injection 10ml vials (Waymade Healthcare Plc)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"12892"	957	"Clinipak u100 single use ins syr+12mm need28g 0.5ml [rand] 0.5ml Insulin syringe with 28gauge needle 12mm (Rand Rocket Ltd)"	"Insulin"	"0.5ml"	"Insulin Syringe With 28Gauge Needle 12Mm"	NA	"Diabetic Hypodermic Equipment"	"Insulin"
"12638"	3030	"Insulin soluble human pyr 100unit/ml Injection"	"Insulin"	"100unit/ml"	"Injection"	"Intramuscular"	"Short-Acting Insulins/Diabetic Ketoacidosis"	"Insulin"
"46001"	15593	"Insuman Basal 100units/ml suspension for injection 3ml pre-filled SoloStar pens (Sanofi)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"73282"	2921	"Humalog Junior KwikPen 100units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"36920"	80728	"Apidra 100units/ml solution for injection 3ml pre-filled SoloStar pens (Sanofi)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"77284"	9	"Insulin isophane human 100iu/ml Injection"	"Insulin"	"100iu/ml"	"Injection"	"Intramuscular"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"72559"	28	"Human Insulatard Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Unknown"	"Insulin"
"79140"	740	"GlucoRx Safety Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/30gauge (GlucoRx Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"17712"	7527	"Hypurin Bovine Lente 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"14357"	114681	"Humulin I 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"68867"	44	"Neon Verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/30gauge (Neon Diagnostics Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"2456"	7801	"Mixtard 10 NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd)"	"Insulin"	"10unit/1ml + 90unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Unknown"	"Insulin"
"17643"	307	"Autopen Special Edition hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units (Owen Mumford Ltd)"	"Insulin"	"3ml/2-42 units"	"Insulin Pen"	NA	"Reusable Pens"	"Insulin"
"48829"	9686	"NovoPen Echo hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 0.5-30 units Blue (Novo Nordisk Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Reusable Pens"	"Insulin"
"71340"	803	"Mixtard 30 Penfill 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc)"	"Insulin"	"70unit/1ml + 30unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Biphasic Insulins"	"Insulin"
"4706"	18794	"Velosulin 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"44378"	137	"Insulin isophane biphasic human 25/75 100units/ml suspension for injection 3ml pre-filled disposable devices"	"Insulin"	"25unit/1ml + 75unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Biphasic Insulins"	"Insulin"
"71550"	7178	"Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge (B.Braun Medical Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"14933"	7894	"Hypurin Porcine Isophane 100units/ml suspension for injection 3ml cartridges (Wockhardt UK Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"36959"	850	"GlucoRx CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge (GlucoRx Ltd)"	"Insulin"	"12mm/29gauge"	"Pen Needle"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"10264"	31962	"Humalog Pen 100units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"53148"	503	"Hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Reusable Pens"	"Insulin"
"12035"	495	"Insulin zinc mixed bovine 100units/ml suspension for injection 10ml vials"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"14944"	73965	"Humulin S 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
