"prodcode"	"dmdcode"	"gemscriptcode"	"productname"	"drugsubstance"	"strength"	"formulation"	"route"	"bnfcode"	"bnfchapter"	"Gen"	"AP"
"47498"	386213008	"00733021"	"Olanzapine 20mg oral lyophilisates sugar free"	"Olanzapine"	"20mg"	"Oral lyophilisate"	"Oral"	"00000000"	"Unknown"	2	"Olanzapine"
"47808"	30711000001105	"60366020"	"Haloperidol 10mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)"	"Haloperidol"	"2mg/1ml"	"Oral solution"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Haloperidol"
"47817"	9360611000001104	"70875020"	"Lamotrigine 50mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Lamotrigine"	"50mg"	"Tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Lamotrigine"
"47832"	13120611000001100	"74927020"	"Risperidone 500microgram tablets (A A H Pharmaceuticals Ltd)"	"Risperidone"	"500microgram"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Risperidone"
"47881"	513611000001104	"54417020"	"Thioridazine 25mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)"	"Thioridazine hydrochloride"	"5mg/1ml"	"Oral solution"	"Oral"	"00000000"	"Unknown"	1	"Thioridazine"
"47963"	18078411000001108	"70915020"	"Lamotrigine 25mg tablets (Fannin UK Ltd)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Lamotrigine"
"48077"	226805001000027104	"84528020"	"Roxiam ir 75mg Capsule (AstraZeneca UK Ltd)"	"Remoxipride Hydrochloride Monohydrate"	"75mg"	"Capsule"	"Oral"	"04020100"	"Antipsychotic Drugs"	2	"Remoxipride"
"48164"	9458611000001104	"71050020"	"Lamotrigine 25mg dispersible tablets sugar free (A A H Pharmaceuticals Ltd)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Lamotrigine"
"48182"	10450811000001100	"71403020"	"Lamotrigine 25mg tablets (Arrow Generics Ltd)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Lamotrigine"
"49170"	16249911000001104	"04128020"	"Stemetil 5mg tablets (Lexon (UK) Ltd)"	"Prochlorperazine maleate"	"5mg"	"Tablet"	"Oral"	"04020101/04065400"	"First-generation Antipsychotic Drugs/Drug Used In Nausea And Vertigo - Antihistamines, Phenothiazines & Related Drugs"	1	"Prochlorperazine"
"49207"	8528111000001102	"20065020"	"Haloperidol 2mg/5ml oral solution"	"Haloperidol"	"400microgram/1ml"	"Oral solution"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Haloperidol"
"49532"	20167011000001104	"39821020"	"Lamotrigine 25mg tablets (Accord Healthcare Ltd)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Lamotrigine"
"49606"	19809011000001100	"38919020"	"Levinan 6mg tablets (Kyowa Kirin Ltd)"	"Levomepromazine maleate"	"6mg"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Levomepromazine"
"49696"	13012211000001100	"33610020"	"Quetiapine 25mg/5ml oral solution"	"Quetiapine fumarate"	"5mg/1ml"	"Oral solution"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Quetiapine"
"49699"	13819311000001104	"10469020"	"Abilify 5mg tablets (Sigma Pharmaceuticals Plc)"	"Aripiprazole"	"5mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Aripiprazole"
"49923"	16172011000001104	"04813020"	"Epilim Chrono 200 tablets (Lexon (UK) Ltd)"	"Sodium valproate"	"200mg"	"Modified-release tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"50214"	19627011000001108	"38420020"	"Olanzapine 5mg orodispersible tablets"	"Olanzapine"	"5mg"	"Orodispersible tablet"	"Oral"	"04020102/04020300"	"Second-generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"50235"	9459011000001100	"71034020"	"Lamotrigine 25mg tablets (A A H Pharmaceuticals Ltd)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Lamotrigine"
"50462"	18614811000001100	"04131020"	"Stemetil 5mg tablets (DE Pharmaceuticals)"	"Prochlorperazine maleate"	"5mg"	"Tablet"	"Oral"	"04020101/04065400"	"First-generation Antipsychotic Drugs/Drug Used In Nausea And Vertigo - Antihistamines, Phenothiazines & Related Drugs"	1	"Prochlorperazine"
"50592"	14236811000001104	"03818020"	"Fluanxol 1mg tablets (Sigma Pharmaceuticals Plc)"	"Flupentixol dihydrochloride"	"1mg"	"Tablet"	"Oral"	"04030400"	"Other Antidepressant Drugs"	1	"Flupentixol"
"51178"	15452111000001102	"36328020"	"Quetiapine 50mg/5ml oral suspension"	"Quetiapine fumarate"	"10mg/1ml"	"Oral suspension"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Quetiapine"
"51240"	16101811000001106	"36905020"	"Risperidone 125micrograms/5ml oral solution"	"Risperidone"	"25microgram/1ml"	"Oral solution"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Risperidone"
"51309"	13917811000001106	"04887020"	"Lamictal 25mg tablets (DE Pharmaceuticals)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Lamotrigine"
"51401"	17624411000001100	"03668020"	"Priadel 400mg modified-release tablets (Necessity Supplies Ltd)"	"Lithium carbonate"	"400mg"	"Modified-release tablet"	"Oral"	"04020300"	"Drugs Used For Mania And Hypomania"	3	"Lithium"
"51444"	10982511000001108	"13768020"	"Risperdal Consta 50mg powder and solvent for suspension for injection vials (Waymade Healthcare Plc)"	"Risperidone"	"50mg"	"Powder and solvent for suspension for injection"	"Intramuscular"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Risperidone"
"51501"	16194611000001106	"04891020"	"Lamictal 25mg tablets (Lexon (UK) Ltd)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Lamotrigine"
"51551"	17456011000001104	"04129020"	"Stemetil 5mg tablets (Mawdsley-Brooks & Company Ltd)"	"Prochlorperazine maleate"	"5mg"	"Tablet"	"Oral"	"04020101/04065400"	"First-generation Antipsychotic Drugs/Drug Used In Nausea And Vertigo - Antihistamines, Phenothiazines & Related Drugs"	1	"Prochlorperazine"
"51558"	13466211000001108	"35010020"	"Amisulpride 12.5mg/5ml oral suspension"	"Amisulpride"	"2.5mg/1ml"	"Oral suspension"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Amisulpride"
"51579"	14401911000001108	"04123020"	"Stemetil 5mg tablets (Sigma Pharmaceuticals Plc)"	"Prochlorperazine maleate"	"5mg"	"Tablet"	"Oral"	"04020101/04065400"	"First-generation Antipsychotic Drugs/Drug Used In Nausea And Vertigo - Antihistamines, Phenothiazines & Related Drugs"	1	"Prochlorperazine"
"51751"	19665211000001104	"78712020"	"Sodium valproate 200mg gastro-resistant tablets (Wockhardt UK Ltd)"	"Sodium valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"52001"	19543711000001108	"03580020"	"Olanzapine 2.5mg tablets (Aspire Pharma Ltd)"	"Olanzapine"	"2.5mg"	"Tablet"	"Oral"	"04020102/04020300"	"Second-generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"52050"	12505011000001104	"32064020"	"Haloperidol 1.5mg/5ml oral suspension"	"Haloperidol"	"300microgram/1ml"	"Oral suspension"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Haloperidol"
"52076"	13466111000001104	"35008020"	"Amisulpride 12.5mg/5ml oral solution"	"Amisulpride"	"2.5mg/1ml"	"Oral solution"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Amisulpride"
"52143"	107345001000027104	"03508007"	"THIORIDAZINE CONCENTRATE 750MG/5ML 750 MG ELI"	""	""	""	""	"00000000"	"Unknown"	1	"Thioridazine"
"52846"	16214511000001104	"03365020"	"Nozinan 25mg/1ml solution for injection ampoules (Lexon (UK) Ltd)"	"Levomepromazine hydrochloride"	"25mg/1ml"	"Solution for injection"	"Subcutaneous/Intravenous/Intramuscular"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Levomepromazine"
"52940"	20356011000001100	"41200020"	"Sondate XL 50mg tablets (Teva UK Ltd)"	"Quetiapine fumarate"	"50mg"	"Modified-release tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Quetiapine"
"53195"	18576511000001108	"04815020"	"Epilim Chrono 200 tablets (DE Pharmaceuticals)"	"Sodium valproate"	"200mg"	"Modified-release tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"53197"	15175811000001104	"04819020"	"Sodium valproate 300mg modified-release tablets (Sigma Pharmaceuticals Plc)"	"Sodium valproate"	"300mg"	"Modified-release tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"53211"	16102311000001106	"36907020"	"Valproic acid 500mg/5ml oral solution"	"Valproate semisodium"	"100mg/1ml"	"Oral solution"	"Oral"	"04020300/04080100"	"Drugs Used For Mania And Hypomania/Control Of Epilepsy"	3	"Valproate"
"53459"	13947411000001104	"03664020"	"Priadel 400mg modified-release tablets (DE Pharmaceuticals)"	"Lithium carbonate"	"400mg"	"Modified-release tablet"	"Oral"	"04020300"	"Drugs Used For Mania And Hypomania"	3	"Lithium"
"53501"	16172411000001108	"04827020"	"Epilim Chrono 500 tablets (Lexon (UK) Ltd)"	"Sodium valproate"	"500mg"	"Modified-release tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"53524"	18576711000001104	"04822020"	"Epilim Chrono 300 tablets (DE Pharmaceuticals)"	"Sodium valproate"	"300mg"	"Modified-release tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"53552"	20917511000001108	"42176020"	"Quetiapine 25mg tablets (Zentiva)"	"Quetiapine fumarate"	"25mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Quetiapine"
"53556"	321623003	"38834020"	"Olanzapine 10mg oral lyophilisates sugar free"	"Olanzapine"	"10mg"	"Oral lyophilisate"	"Oral"	"04020102/04020300"	"Second-generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"53634"	247735001000027104	"93367020"	"Droperidol capsules"	"Droperidol"	""	""	""	"04020100/15010401"	"Antipsychotic Drugs/Benzodiazepines (peri-operative)"	1	"Droperidol"
"53649"	8528211000001108	"20067020"	"Haloperidol 2mg/5ml oral suspension"	"Haloperidol"	"400microgram/1ml"	"Oral suspension"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Haloperidol"
"53848"	19608211000001108	"00589021"	"Zalasta 5mg orodispersible tablets (Consilient Health Ltd)"	"Olanzapine"	"5mg"	"Orodispersible tablet"	"Oral"	"04020102/04020300"	"Second-generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"53951"	12646611000001108	"32615020"	"Levomepromazine 6.25mg/5ml oral solution"	"Levomepromazine maleate"	"1.25mg/1ml"	"Oral solution"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Levomepromazine"
"54276"	11500511000001106	"74431020"	"Lamotrigine 5mg dispersible tablets sugar free (Actavis UK Ltd)"	"Lamotrigine"	"5mg"	"Dispersible tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Lamotrigine"
"54346"	12885511000001100	"74841020"	"Risperidone 1mg tablets (Teva UK Ltd)"	"Risperidone"	"1mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Risperidone"
"54429"	5414111000001103	"04122020"	"Stemetil 5mg tablets (Waymade Healthcare Plc)"	"Prochlorperazine maleate"	"5mg"	"Tablet"	"Oral"	"04020101/04065400"	"First-generation Antipsychotic Drugs/Drug Used In Nausea And Vertigo - Antihistamines, Phenothiazines & Related Drugs"	1	"Prochlorperazine"
"54458"	92605001000027104	"59774020"	"Prochlorperazine 5mg Tablet (Teva UK Ltd)"	"Prochlorperazine maleate"	"5mg"	"Tablet"	"Oral"	"04020100/40120000"	"Antipsychotic Drugs/-"	1	"Prochlorperazine"
"54483"	20356411000001104	"40629020"	"Sondate XL 300mg tablets (Teva UK Ltd)"	"Quetiapine fumarate"	"300mg"	"Modified-release tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Quetiapine"
"54828"	13301211000001104	"34510020"	"Sodium valproate 600mg/5ml oral solution"	"Sodium valproate"	"120mg/1ml"	"Oral solution"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"55006"	4249911000001100	"04823020"	"Sodium valproate 500mg modified-release tablets (Alliance Healthcare (Distribution) Ltd)"	"Sodium valproate"	"500mg"	"Modified-release tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"55011"	511000001103	"03298020"	"Largactil 25mg tablets (Sanofi)"	"Chlorpromazine hydrochloride"	"25mg"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Chlorpromazine"
"55012"	911311000001102	"03297020"	"Largactil 10mg tablets (Sanofi)"	"Chlorpromazine hydrochloride"	"10mg"	"Tablet"	"Oral"	"00000000"	"Unknown"	1	"Chlorpromazine"
"55038"	15177311000001100	"04126020"	"Prochlorperazine 5mg tablets (Sigma Pharmaceuticals Plc)"	"Prochlorperazine maleate"	"5mg"	"Tablet"	"Oral"	"04020101/04065400"	"First-generation Antipsychotic Drugs/Drug Used In Nausea And Vertigo - Antihistamines, Phenothiazines & Related Drugs"	1	"Prochlorperazine"
"55268"	17038411000001100	"98333020"	"Zypadhera 300mg powder and solvent for suspension for injection vials (Eli Lilly and Company Ltd)"	"Olanzapine embonate monohydrate"	"300mg"	"Powder and solvent for suspension for injection"	"Intramuscular"	"04020102/04020200"	"Second-generation Antipsychotic Drugs/Antipsychotic Depot Injections"	2	"Olanzapine"
"55382"	20156311000001108	"40525020"	"Trifluoperazine 1mg/5ml oral solution sugar free (AMCo)"	"Trifluoperazine hydrochloride"	"200microgram/1ml"	"Oral solution"	"Oral"	"04020101/04065400"	"First-generation Antipsychotic Drugs/Drug Used In Nausea And Vertigo - Antihistamines, Phenothiazines & Related Drugs"	1	"Trifluoperazine"
"55620"	246555001000027104	"92819020"	"Flupentixol Liquid"	"Flupentixol Dihydrochloride"	""	"Liquid"	""	"04020100/04030400"	"Antipsychotic Drugs/Other Antidepressant Drugs"	1	"Flupentixol"
"55622"	19626711000001104	"38414020"	"Olanzapine 10mg orodispersible tablets"	"Olanzapine"	"10mg"	"Orodispersible tablet"	"Oral"	"04020102/04020300"	"Second-generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"55625"	8277511000001100	"18970020"	"Amisulpride 50mg/5ml oral suspension"	"Amisulpride"	"10mg/1ml"	"Oral suspension"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Amisulpride"
"55644"	16058511000001102	"04890020"	"Lamotrigine 25mg tablets (Bristol Laboratories Ltd)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Lamotrigine"
"55661"	13118411000001106	"03430020"	"Risperidone 1mg tablets (Kent Pharmaceuticals Ltd)"	"Risperidone"	"1mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Risperidone"
"55667"	19559411000001104	"78190020"	"Olanzapine 15mg tablets (Actavis UK Ltd)"	"Olanzapine"	"15mg"	"Tablet"	"Oral"	"04020102/04020300"	"Second-generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"55848"	10684411000001100	"75415020"	"Haloperidol 5mg/1ml solution for injection ampoules (AMCo)"	"Haloperidol"	"5mg/1ml"	"Solution for injection"	"Intravenous/Intramuscular"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Haloperidol"
"55870"	251645001000027104	"95125020"	"Quetiapine oral liquid"	"Quetiapine Fumarate"	""	""	""	"04020100"	"Antipsychotic Drugs"	2	"Quetiapine"
"55871"	96005001000027104	"60367020"	"Haloperidol 2mg/ml Liquid (Hillcross Pharmaceuticals Ltd)"	"Haloperidol"	"2mg/ml"	"Liquid"	""	"04020100/40120000"	"Antipsychotic Drugs/-"	1	"Haloperidol"
"55890"	30125001000027104	"51759020"	"Promazine 50mg/5ml Liquid (Rosemont Pharmaceuticals Ltd)"	"Promazine Hydrochloride"	"50mg/5ml"	"Liquid"	""	"04020100"	"Antipsychotic Drugs"	1	"Promazine"
"56072"	19626911000001108	"38418020"	"Olanzapine 20mg orodispersible tablets"	"Olanzapine"	"20mg"	"Orodispersible tablet"	"Oral"	"04020102/04020300"	"Second-generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"56076"	19977911000001108	"39721020"	"Sodium valproate 500mg/5ml oral suspension"	"Sodium valproate"	"100mg/1ml"	"Oral suspension"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"56136"	10854211000001100	"04817020"	"Epilim Chrono 300 tablets (Waymade Healthcare Plc)"	"Sodium valproate"	"300mg"	"Modified-release tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"56143"	19626811000001104	"38416020"	"Olanzapine 15mg orodispersible tablets"	"Olanzapine"	"15mg"	"Orodispersible tablet"	"Oral"	"04020102/04020300"	"Second-generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"56193"	321622008	"38833020"	"Olanzapine 5mg oral lyophilisates sugar free"	"Olanzapine"	"5mg"	"Oral lyophilisate"	"Oral"	"00000000"	"Unknown"	2	"Olanzapine"
"56215"	15452011000001104	"36326020"	"Quetiapine 50mg/5ml oral solution"	"Quetiapine fumarate"	"10mg/1ml"	"Oral solution"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Quetiapine"
"56265"	386213008	"38854020"	"Olanzapine 20mg oral lyophilisates sugar free"	"Olanzapine"	"20mg"	"Oral lyophilisate"	"Oral"	"04020102/04020300"	"Second-generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"56387"	13380911000001108	"03505020"	"Risperidone 1mg/ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)"	"Risperidone"	"1mg/1ml"	"Oral solution"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Risperidone"
"56427"	21885711000001108	"47267020"	"Lithium citrate 509mg/5ml oral solution (Cubic Pharmaceuticals Ltd)"	"Lithium citrate"	"101.8mg/1ml"	"Oral solution"	"Oral"	"04020300"	"Drugs Used For Mania And Hypomania"	3	"Lithium"
"56435"	8658611000001103	"92847020"	"Lithium carbonate 200mg/5ml oral suspension"	"Lithium carbonate"	"40mg/1ml"	"Oral suspension"	"Oral"	"04020300"	"Drugs Used For Mania And Hypomania"	3	"Lithium"
"56504"	13753511000001102	"04913020"	"Lamotrigine 25mg dispersible tablets sugar free (Tillomed Laboratories Ltd)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Lamotrigine"
"56577"	3434911000001100	"38868020"	"Olanzapine 15mg oral lyophilisates sugar free"	"Olanzapine"	"15mg"	"Oral lyophilisate"	"Oral"	"00000000"	"Unknown"	2	"Olanzapine"
"56647"	20438511000001104	"41448020"	"Quetiapine 300mg tablets (Arrow Generics Ltd)"	"Quetiapine fumarate"	"300mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Quetiapine"
"56862"	144011000001107	"55709020"	"Chlorpromazine 25mg/5ml syrup (Rosemont Pharmaceuticals Ltd)"	"Chlorpromazine hydrochloride"	"5mg/1ml"	"Oral solution"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Chlorpromazine"
"57034"	20356211000001104	"40630020"	"Sondate XL 200mg tablets (Teva UK Ltd)"	"Quetiapine fumarate"	"200mg"	"Modified-release tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Quetiapine"
"57114"	16252911000001104	"10470020"	"Abilify 5mg tablets (Mawdsley-Brooks & Company Ltd)"	"Aripiprazole"	"5mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Aripiprazole"
"57160"	321622008	"38397020"	"Olanzapine 5mg oral lyophilisates sugar free"	"Olanzapine"	"5mg"	"Oral lyophilisate"	"Oral"	"04020102/04020300"	"Second-generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"57170"	9494211000001104	"89752020"	"Psytixol 100mg/1ml solution for injection ampoules (Mylan)"	"Flupentixol decanoate"	"100mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Antipsychotic Depot Injections"	1	"Flupentixol"
"57217"	14401311000001106	"75903020"	"Risperidone 1mg tablets (Mylan)"	"Risperidone"	"1mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Risperidone"
"57270"	14015911000001104	"35326020"	"Olanzapine 2.5mg/5ml oral suspension"	"Olanzapine"	"500microgram/1ml"	"Oral suspension"	"Oral"	"04020102/04020300"	"Second-generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"57412"	20356611000001108	"40631020"	"Sondate XL 400mg tablets (Teva UK Ltd)"	"Quetiapine fumarate"	"400mg"	"Modified-release tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Quetiapine"
"57550"	379911000001101	"03326020"	"Largactil 25mg/5ml syrup (Sanofi)"	"Chlorpromazine hydrochloride"	"5mg/1ml"	"Oral solution"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Chlorpromazine"
"57571"	12084911000001108	"30762020"	"Droperidol 5mg/5ml oral solution"	"Droperidol"	"1mg/1ml"	"Oral solution"	"Oral"	"04065400"	"Drug Used In Nausea And Vertigo - Antihistamines, Phenothiazines & Related Drugs"	1	"Droperidol"
"57605"	16249411000001102	"03413020"	"Stelazine 1mg tablets (Lexon (UK) Ltd)"	"Trifluoperazine hydrochloride"	"1mg"	"Tablet"	"Oral"	"04020101/04065400"	"First-generation Antipsychotic Drugs/Drug Used In Nausea And Vertigo - Antihistamines, Phenothiazines & Related Drugs"	1	"Trifluoperazine"
"57612"	16243111000001108	"11075020"	"Seroquel XL 400mg tablets (Lexon (UK) Ltd)"	"Quetiapine fumarate"	"400mg"	"Modified-release tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Quetiapine"
"57613"	17594611000001104	"35377020"	"Seroquel XL 50mg tablets (Sigma Pharmaceuticals Plc)"	"Quetiapine fumarate"	"50mg"	"Modified-release tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Quetiapine"
"57616"	19561911000001104	"78313020"	"Olanzapine 20mg tablets (Teva UK Ltd)"	"Olanzapine"	"20mg"	"Tablet"	"Oral"	"04020102/04020300"	"Second-generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"57762"	9489211000001100	"89748020"	"Psytixol 40mg/2ml solution for injection ampoules (Mylan)"	"Flupentixol decanoate"	"20mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Antipsychotic Depot Injections"	1	"Flupentixol"
"57863"	9454511000001104	"04849020"	"Lamotrigine 50mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Lamotrigine"	"50mg"	"Tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Lamotrigine"
"58067"	13011911000001104	"33604020"	"Quetiapine 125mg/5ml oral suspension"	"Quetiapine fumarate"	"25mg/1ml"	"Oral suspension"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Quetiapine"
"58147"	19921111000001104	"39304020"	"Olanzapine 10mg tablets (Zentiva)"	"Olanzapine"	"10mg"	"Tablet"	"Oral"	"04020102/04020300"	"Second-generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"58425"	18612411000001108	"35378020"	"Seroquel XL 50mg tablets (DE Pharmaceuticals)"	"Quetiapine fumarate"	"50mg"	"Modified-release tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Quetiapine"
"58492"	21842111000001108	"47242020"	"Chlorpromazine 100mg tablets (Waymade Healthcare Plc)"	"Chlorpromazine hydrochloride"	"100mg"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Chlorpromazine"
"58702"	432111000001100	"96969020"	"Largactil 100mg tablets (Sanofi)"	"Chlorpromazine hydrochloride"	"100mg"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Chlorpromazine"
"58703"	910611000001102	"03310020"	"Largactil 50mg tablets (Sanofi)"	"Chlorpromazine hydrochloride"	"50mg"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Chlorpromazine"
"58821"	20415911000001108	"41359020"	"Quetiapine 25mg tablets (Dr Reddy's Laboratories (UK) Ltd)"	"Quetiapine fumarate"	"25mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Quetiapine"
"58822"	18508511000001104	"03501020"	"Risperidone 4mg tablets (Almus Pharmaceuticals Ltd)"	"Risperidone"	"4mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Risperidone"
"58854"	19558611000001108	"78187020"	"Olanzapine 10mg tablets (Actavis UK Ltd)"	"Olanzapine"	"10mg"	"Tablet"	"Oral"	"04020102/04020300"	"Second-generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"58935"	22409511000001108	"15732021"	"Tenprolide XL 400mg tablets (Actavis UK Ltd)"	"Quetiapine fumarate"	"400mg"	"Modified-release tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Quetiapine"
"58936"	21248811000001108	"44916020"	"Tenprolide XL 50mg tablets (Actavis UK Ltd)"	"Quetiapine fumarate"	"50mg"	"Modified-release tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Quetiapine"
"59008"	23165411000001104	"17416021"	"Prochlorperazine 3mg buccal tablets (Focus Pharmaceuticals Ltd)"	"Prochlorperazine maleate"	"3mg"	"Buccal tablet"	"Buccal"	"04065400"	"Drug Used In Nausea And Vertigo - Antihistamines, Phenothiazines & Related Drugs"	1	"Prochlorperazine"
"59120"	9460011000001100	"71040020"	"Lamotrigine 100mg tablets (A A H Pharmaceuticals Ltd)"	"Lamotrigine"	"100mg"	"Tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Lamotrigine"
"59125"	9454711000001100	"04866020"	"Lamotrigine 100mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Lamotrigine"	"100mg"	"Tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Lamotrigine"
"59143"	19560911000001104	"78298020"	"Olanzapine 2.5mg tablets (Teva UK Ltd)"	"Olanzapine"	"2.5mg"	"Tablet"	"Oral"	"04020102/04020300"	"Second-generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
