"medcodeid"	"TermEMIS"	"EMIS"	"TermRead"	"READ"	"TermSNOMED"	"SNOMED"	"Group"
"513731000006112"	NA	NA	"\\"Bipolar affect disord, now depressed, severe, no psychosis\\""	"E1153"	"\\"Bipolar affect disord, now depressed, severe, no psychosis\\""	"61403008"	"bipolar"
"513741000006119"	NA	NA	"\\"Bipolar affect disord,currently manic, part/unspec remission\\""	"E1145"	"\\"Bipolar affect disord,currently manic, part/unspec remission\\""	"63249007"	"bipolar"
"513751000006117"	NA	NA	"\\"Bipolar affective disorder, currently depressed\\""	"E115"	"\\"Bipolar affective disorder, currently depressed\\""	"191627008"	"bipolar"
"513801000006112"	NA	NA	"\\"Bipolar affective disorder, currently manic\\""	"E114"	"\\"Bipolar affective disorder, currently manic\\""	"191618007"	"bipolar"
"513811000006110"	NA	NA	"\\"Bipolar affective disorder, currently manic, full remission\\""	"E1146"	"\\"Bipolar affective disorder, currently manic, full remission\\""	"191625000"	"bipolar"
"513861000006113"	NA	NA	"\\"Bipolar affective disorder, now depressed, in full remission\\""	"E1156"	"\\"Bipolar affective disorder, now depressed, in full remission\\""	"191634005"	"bipolar"
"513871000006118"	NA	NA	"Bipolar psychoses"	"E11-1"	"Bipolar psychoses"	"13746004"	"bipolar"
"523481000006114"	NA	NA	"Bouffee delirante"	"E133-1"	"Bouffee delirante"	"63204009"	"other psychosis"
"5247201000006118"	NA	NA	NA	NA	"Religious delusion (finding)"	"247671004"	"other psychosis"
"5247281000006110"	NA	NA	NA	NA	"Nihilistic delusion (finding)"	"247679002"	"other psychosis"
"5247421000006110"	NA	NA	NA	NA	"Delusion of replacement of will by external force (finding)"	"247691006"	"other psychosis"
"5248961000006113"	"Schizophrenic prodrome"	"^ESCTSC524896"	NA	NA	"Schizophrenic prodrome"	"247804008"	"other psychosis"
"52897013"	NA	NA	"Chronic paranoid schizophrenia"	"E1032"	"Chronic paranoid schizophrenia"	"31658008"	"schizophrenia"
"5517971000006118"	"Mixed schizophrenic and affective psychosis"	"^ESCTMI551797"	NA	NA	"Mixed schizophrenic and affective psychosis"	"270901009"	"other psychosis"
"5524571000006112"	"\\"Schizophreniform psychosis, manic type\\""	"^ESCTSC552457"	NA	NA	"\\"Schizophreniform psychosis, manic type\\""	"271428004"	"other psychosis"
"556631000006116"	NA	NA	"Chronic schizo-affective schizophrenia"	"E1072"	"Chronic schizo-affective schizophrenia"	"191570001"	"other psychosis"
"5568191000006118"	NA	NA	NA	NA	"Acute polymorphic psychotic disorder (disorder)"	"274953007"	"other psychosis"
"5582571000006113"	NA	NA	NA	NA	"Primary delusions (finding)"	"276243003"	"other psychosis"
"5614141000006110"	NA	NA	NA	NA	"Delusional dysmorphophobia (disorder)"	"278508007"	"other psychosis"
"5645621000006116"	"De Clerambaults syndrome"	"^ESCTDE564562"	NA	NA	"De Clerambaults syndrome"	"280949006"	"other psychosis"
"5649431000006118"	NA	NA	NA	NA	"Hypomanic mood (finding)"	"281257007"	"bipolar"
"5688901000006116"	NA	NA	NA	NA	"Hypomanic behavior (finding)"	"284512001"	"bipolar"
"5688911000006118"	NA	NA	NA	NA	"Hypomanic behavior (finding)"	"284512001"	"bipolar"
"6277411000006118"	NA	NA	NA	NA	"Finding of lithium level (finding)"	"365738002"	"bipolar"
"6277421000006114"	NA	NA	NA	NA	"Finding of lithium level (finding)"	"365738002"	"bipolar"
"6277441000006119"	NA	NA	NA	NA	"Finding of blood lithium level (finding)"	"365739005"	"bipolar"
"6277451000006117"	NA	NA	NA	NA	"Finding of blood lithium level (finding)"	"365739005"	"bipolar"
"6277481000006113"	NA	NA	NA	NA	"Finding of serum lithium level (finding)"	"365740007"	"bipolar"
"6357571000006119"	"Bipolar 1 disorder"	"^ESCTBI635757"	NA	NA	"Bipolar 1 disorder"	"371596008"	"bipolar"
"68641000006116"	NA	NA	"Urine lithium"	"46P3"	NA	NA	"bipolar"
"6890801000006117"	NA	NA	NA	NA	"Late onset schizophrenia (disorder)"	"416340002"	"schizophrenia"
"701051000006118"	NA	NA	"\\"Mixed bipolar affective disorder, partial/unspec remission\\""	"E1165"	"\\"Mixed bipolar affective disorder, partial/unspec remission\\""	"760721000000109"	"bipolar"
"701071000006111"	NA	NA	"\\"Mixed bipolar affective disorder, severe, without psychosis\\""	"E1163"	"\\"Mixed bipolar affective disorder, severe, without psychosis\\""	"764591000000108"	"bipolar"
"71539017"	NA	NA	"Subchronic catatonic schizophrenia"	"E1021"	"Subchronic catatonic schizophrenia"	"42868002"	"schizophrenia"
"741241000006115"	NA	NA	"Lithium level therapeutic"	"44W80"	NA	NA	"bipolar"
"7515091000006113"	NA	NA	NA	NA	"Delusional disorder in remission (disorder)"	"698951002"	"other psychosis"
"7696261000006113"	"Acute polymorphic psychotic disorder with symptoms of schizophrenia"	"^ESCTAC769626"	NA	NA	"Acute polymorphic psychotic disorder with symptoms of schizophrenia"	"712850003"	"other psychosis"
"7849081000006116"	NA	NA	NA	NA	"Bipolar type I disorder currently in full remission (disorder)"	"723903001"	"bipolar"
"78531000006116"	NA	NA	"Unspecified schizo-affective schizophrenia"	"E1070"	"Unspecified schizo-affective schizophrenia"	"191567000"	"other psychosis"
"7860831000006112"	NA	NA	NA	NA	"Manic symptoms co-occurrent and due to primary psychotic disorder (disorder)"	"724758000"	"other psychosis"
"789221000006116"	NA	NA	"Hypomanic psychoses"	"E110-1"	"Hypomanic psychoses"	"231496004"	"bipolar"
"8041781000006111"	NA	NA	NA	NA	"Rapid cycling bipolar I disorder (disorder)"	"133091000119105"	"bipolar"
"819351000006115"	NA	NA	"Hebephrenic schizophrenia"	"E101"	"Hebephrenic schizophrenia"	"35252006"	"schizophrenia"
"82091000006116"	NA	NA	"\\"Unspecified bipolar affect disord, partial/unspec remission\\""	"E1175"	"\\"Unspecified bipolar affect disord, partial/unspec remission\\""	"5703000"	"bipolar"
"82151000006114"	NA	NA	"\\"Unspecified bipolar affective disorder, severe, no psychosis\\""	"E1173"	"\\"Unspecified bipolar affective disorder, severe, no psychosis\\""	"53049002"	"bipolar"
"82171000006116"	NA	NA	"\\"Unspecified bipolar affective disorder,severe with psychosis\\""	"E1174"	"\\"Unspecified bipolar affective disorder,severe with psychosis\\""	"4441000"	"bipolar"
"8232521000006119"	NA	NA	NA	NA	"Paranoid state in remission"	"755301000000102"	"other psychosis"
"8232541000006114"	"Non-organic psychosis in remission"	"^ESCTNO823254"	NA	NA	"Non-organic psychosis in remission"	"755311000000100"	"other psychosis"
"8235161000006110"	"\\"Mixed bipolar affective disorder, in partial remission\\""	"^ESCTMI823516"	NA	NA	"\\"Mixed bipolar affective disorder, in partial remission\\""	"760721000000109"	"bipolar"
"8237821000006118"	NA	NA	NA	NA	"\\"Recurrent manic episodes, in remission (disorder)\\""	"764681000000107"	"bipolar"
"8237871000006117"	NA	NA	NA	NA	"Single manic episode in remission (disorder)"	"764741000000107"	"bipolar"
"851631000006110"	"Lithium monitoring by GP"	"EMISQLI1"	NA	NA	NA	NA	"bipolar"
"851641000006117"	"Lithium monitoring by mental health team"	"EMISQLI2"	NA	NA	NA	NA	"bipolar"
"851651000006115"	"Lithium monitoring by out patient clinic"	"EMISQLI3"	NA	NA	NA	NA	"bipolar"
"851691000006114"	"Hypomanic"	"EMISQHY1"	NA	NA	"Hypomanic"	"851691000006105"	"bipolar"
"851701000006114"	"Paranoid"	"EMISQPA1"	NA	NA	"Paranoid"	"851701000006105"	"other psychosis"
"853201000006116"	"Obsessional compulsive psychosis"	"EGTON118"	NA	NA	"Obsessional compulsive psychosis"	"853201000006100"	"other psychosis"
"882281000006113"	NA	NA	"Schizophrenic psychoses NOS"	"E10-98"	"Schizophrenic psychoses NOS"	"191526005"	"schizophrenia"
"882291000006111"	NA	NA	"Schizophrenic psychoses"	"E10-99"	"Schizophrenic psychoses"	"191526005"	"schizophrenia"
"882301000006112"	NA	NA	"Acute schizo affective psychosis"	"E107-99"	"Acute schizo affective psychosis"	"191567000"	"other psychosis"
"882311000006110"	NA	NA	"Manic-depressive psychoses"	"E11-99"	"Manic-depressive psychoses"	"13746004"	"bipolar"
"882321000006119"	NA	NA	"Mania/hypomania"	"E110-99"	"Mania/hypomania"	"268619003"	"bipolar"
"882331000006116"	NA	NA	"Paranoia"	"E12-99"	"Paranoia"	"191667009"	"other psychosis"
"914461000006118"	NA	NA	"[X]Capgras syndrome"	"Eu221-1"	"[X]Capgras syndrome"	"44906001"	"other psychosis"
"914471000006113"	NA	NA	"[X]Delusional misidentification syndrome"	"Eu221"	"[X]Delusional misidentification syndrome"	"44906001"	"other psychosis"
"9225016"	NA	NA	"Schizophrenia in remission"	"E1005"	"Schizophrenia in remission"	"4926007"	"schizophrenia"
"981141000006111"	"Delusions"	"EMISCDE13"	NA	NA	"Delusions"	"981141000006107"	"other psychosis"
"996171000006114"	NA	NA	"\\"Psychosis, schizophrenia + bipolar affective disord resolved\\""	"212T"	"\\"Psychosis, schizophrenia and bipolar affective disorder resolved (finding)\\""	"200951000000109"	"other psychosis"
